,summary,config
0,"{'SGD Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/SGD Overlapping Accuracies_3_a14156b501490f6997a2.png', 'sha256': 'a14156b501490f6997a2030f58644a3f3c182b4f4c16774abb9dedabefc4ada5', 'size': 26113, 'width': 1000}, 'SGD/eval/acc_task_1': 0.9995271867612292, 'SGD/global_epoch': 1, 'SGD/train/loss': 0.006942716742574795, '_runtime': 5, '_step': 5, '_timestamp': 1779566332.1460094, '_wandb': {'runtime': 5}, 'sgd/eval/average_accuracy': 0.9995271867612292, 'sgd/results': {'acc': {'1': [0.9995271867612292]}}, 'task': 1, 'task_completed': 1}","{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
1,{},"{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
2,"{'SGD Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/SGD Overlapping Accuracies_3_a14156b501490f6997a2.png', 'sha256': 'a14156b501490f6997a2030f58644a3f3c182b4f4c16774abb9dedabefc4ada5', 'size': 26113, 'width': 1000}, 'SGD/eval/acc_task_1': 0.9995271867612292, 'SGD/global_epoch': 1, 'SGD/train/loss': 0.006639142476455516, '_runtime': 6, '_step': 5, '_timestamp': 1779566357.8054662, '_wandb': {'runtime': 6}, 'sgd/eval/average_accuracy': 0.9995271867612292, 'sgd/results': {'acc': {'1': [0.9995271867612292]}}, 'task': 1, 'task_completed': 1}","{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 2137, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
3,"{'SGD Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/SGD Overlapping Accuracies_3_a14156b501490f6997a2.png', 'sha256': 'a14156b501490f6997a2030f58644a3f3c182b4f4c16774abb9dedabefc4ada5', 'size': 26113, 'width': 1000}, 'SGD/eval/acc_task_1': 0.9995271867612292, 'SGD/global_epoch': 1, 'SGD/train/loss': 0.006762846203739299, '_runtime': 7, '_step': 5, '_timestamp': 1779566373.892209, '_wandb': {'runtime': 7}, 'sgd/eval/average_accuracy': 0.9995271867612292, 'sgd/results': {'acc': {'1': [0.9995271867612292]}}, 'task': 1, 'task_completed': 1}","{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 811, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
4,"{'SGD Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/SGD Overlapping Accuracies_3_a14156b501490f6997a2.png', 'sha256': 'a14156b501490f6997a2030f58644a3f3c182b4f4c16774abb9dedabefc4ada5', 'size': 26113, 'width': 1000}, 'SGD/eval/acc_task_1': 0.9995271867612292, 'SGD/global_epoch': 1, 'SGD/train/loss': 0.006942716742574795, '_runtime': 5, '_step': 5, '_timestamp': 1779566447.3642492, '_wandb': {'runtime': 5}, 'sgd/eval/average_accuracy': 0.9995271867612292, 'sgd/results': {'acc': {'1': [0.9995271867612292]}}, 'task': 1, 'task_completed': 1}","{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
5,"{'SGD Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/SGD Overlapping Accuracies_3_a14156b501490f6997a2.png', 'sha256': 'a14156b501490f6997a2030f58644a3f3c182b4f4c16774abb9dedabefc4ada5', 'size': 26113, 'width': 1000}, 'SGD/eval/acc_task_1': 0.9995271867612292, 'SGD/global_epoch': 1, 'SGD/train/loss': 0.006942716742574795, '_runtime': 6, '_step': 5, '_timestamp': 1779566496.2904892, '_wandb': {'runtime': 6}, 'sgd/eval/average_accuracy': 0.9995271867612292, 'sgd/results': {'acc': {'1': [0.9995271867612292]}}, 'task': 1, 'task_completed': 1}","{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
6,"{'SGD Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/SGD Overlapping Accuracies_3_83526f5ee76902a813f1.png', 'sha256': '83526f5ee76902a813f18e64715095be340cf1c76f2f8674490f91af113f64f2', 'size': 26069, 'width': 1000}, 'SGD/eval/acc_task_1': 0.998581560283688, 'SGD/global_epoch': 1, 'SGD/train/loss': 0.007122397231671737, '_runtime': 5, '_step': 5, '_timestamp': 1779566508.379834, '_wandb': {'runtime': 5}, 'sgd/eval/average_accuracy': 0.998581560283688, 'sgd/results': {'acc': {'1': [0.998581560283688]}}, 'task': 1, 'task_completed': 1}","{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
7,"{'SGD Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/SGD Overlapping Accuracies_3_a14156b501490f6997a2.png', 'sha256': 'a14156b501490f6997a2030f58644a3f3c182b4f4c16774abb9dedabefc4ada5', 'size': 26113, 'width': 1000}, 'SGD/eval/acc_task_1': 0.9995271867612292, 'SGD/global_epoch': 1, 'SGD/train/loss': 0.006639142476455516, '_runtime': 5, '_step': 5, '_timestamp': 1779566520.6947105, '_wandb': {'runtime': 5}, 'sgd/eval/average_accuracy': 0.9995271867612292, 'sgd/results': {'acc': {'1': [0.9995271867612292]}}, 'task': 1, 'task_completed': 1}","{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 2137, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
8,"{'SGD Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/SGD Overlapping Accuracies_3_a14156b501490f6997a2.png', 'sha256': 'a14156b501490f6997a2030f58644a3f3c182b4f4c16774abb9dedabefc4ada5', 'size': 26113, 'width': 1000}, 'SGD/eval/acc_task_1': 0.9995271867612292, 'SGD/global_epoch': 1, 'SGD/train/loss': 0.006762846203739299, '_runtime': 6, '_step': 5, '_timestamp': 1779566533.7451508, '_wandb': {'runtime': 6}, 'sgd/eval/average_accuracy': 0.9995271867612292, 'sgd/results': {'acc': {'1': [0.9995271867612292]}}, 'task': 1, 'task_completed': 1}","{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 811, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
9,{},"{'lr': 0.01, 'lam': 0.001, 'beta': 0.1, 'seed': 111, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['sgd'], 'normalize': False, 'num_tasks': 1, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': 1, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 419, 'first_task_lr': 0.01, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 12000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
