,summary,config
0,"{'ADAM Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/ADAM Overlapping Accuracies_18_eb497b87badf88f3e6b2.png', 'sha256': 'eb497b87badf88f3e6b2143d194f389a82d65fbec7a36e52d993ffedf3d2ee7c', 'size': 58053, 'width': 1000}, 'ADAM/eval/acc_task_1': 0.9981087470449173, 'ADAM/eval/acc_task_2': 0.9764936336924585, 'ADAM/eval/acc_task_3': 0.995197438633938, 'ADAM/eval/acc_task_4': 0.987411883182276, 'ADAM/eval/acc_task_5': 0.9904185577407968, 'ADAM/eval/bwt': -0.002733268633673236, 'ADAM/global_epoch': 12, 'ADAM/train/loss': 0.12816233819950434, '_runtime': 93, '_step': 23, '_timestamp': 1779453968.9971018, '_wandb': {'runtime': 93}, 'adam/eval/average_accuracy': 0.9895260520588772, 'adam/results': {'acc': {'1': [0.9981087470449173, 0, 0, 0, 0], '2': [0.9981087470449173, 0.984818805093046, 0, 0, 0], '3': [0.9981087470449173, 0.9794319294809012, 0.9967982924226254, 0, 0], '4': [0.9981087470449173, 0.9843290891283056, 0.996264674493063, 0.988418932527694, 0], '5': [0.9981087470449173, 0.9764936336924585, 0.995197438633938, 0.987411883182276, 0.9904185577407968]}, 'bwt': -0.002733268633673236}, 'best/average_accuracy': 0.9895260520588772, 'best/bwt': -0.002733268633673236, 'best/results': {'acc': {'1': [0.9981087470449173, 0, 0, 0, 0], '2': [0.9981087470449173, 0.984818805093046, 0, 0, 0], '3': [0.9981087470449173, 0.9794319294809012, 0.9967982924226254, 0, 0], '4': [0.9981087470449173, 0.9843290891283056, 0.996264674493063, 0.988418932527694, 0], '5': [0.9981087470449173, 0.9764936336924585, 0.995197438633938, 0.987411883182276, 0.9904185577407968]}, 'bwt': -0.002733268633673236}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.01, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 701, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 40, 'max_directions': 80, 'fisher_clipping': False, 'hyper_hidden_dim': 8, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
1,"{'ADAM Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/ADAM Overlapping Accuracies_20_86d415fdc65b2231ee23.png', 'sha256': '86d415fdc65b2231ee230a572a10c050d5329b1edafb1594d4df1eda16611ef7', 'size': 57886, 'width': 1000}, 'ADAM/eval/acc_task_1': 0.9981087470449173, 'ADAM/eval/acc_task_2': 0.9906953966699314, 'ADAM/eval/acc_task_3': 0.9967982924226254, 'ADAM/eval/acc_task_4': 0.972306143001007, 'ADAM/eval/acc_task_5': 0.9742813918305596, 'ADAM/eval/bwt': 0.003626388638195088, 'ADAM/global_epoch': 14, 'ADAM/train/loss': 0.2205175720155239, '_runtime': 103, '_step': 25, '_timestamp': 1779454081.4599094, '_wandb': {'runtime': 103}, 'adam/eval/average_accuracy': 0.9864379941938084, 'adam/results': {'acc': {'1': [0.9981087470449173, 0, 0, 0, 0], '2': [0.9981087470449173, 0.9872673849167484, 0, 0, 0], '3': [0.9981087470449173, 0.9857982370225268, 0.9967982924226254, 0, 0], '4': [0.9981087470449173, 0.9833496571988248, 0.9957310565635006, 0.96122860020141, 0], '5': [0.9981087470449173, 0.9906953966699314, 0.9967982924226254, 0.972306143001007, 0.9742813918305596]}, 'bwt': 0.003626388638195088}, 'best/average_accuracy': 0.9864379941938084, 'best/bwt': 0.003626388638195088, 'best/results': {'acc': {'1': [0.9981087470449173, 0, 0, 0, 0], '2': [0.9981087470449173, 0.9872673849167484, 0, 0, 0], '3': [0.9981087470449173, 0.9857982370225268, 0.9967982924226254, 0, 0], '4': [0.9981087470449173, 0.9833496571988248, 0.9957310565635006, 0.96122860020141, 0], '5': [0.9981087470449173, 0.9906953966699314, 0.9967982924226254, 0.972306143001007, 0.9742813918305596]}, 'bwt': 0.003626388638195088}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.05, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 701, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 40, 'max_directions': 80, 'fisher_clipping': False, 'hyper_hidden_dim': 8, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
2,"{'ADAM Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/ADAM Overlapping Accuracies_25_f6a5a0b1125e2be2385e.png', 'sha256': 'f6a5a0b1125e2be2385e356dabcd60d05fc219b062a9235a256f7bf290fb044c', 'size': 56815, 'width': 1000}, 'ADAM/eval/acc_task_1': 0.9981087470449173, 'ADAM/eval/acc_task_2': 0.9823702252693438, 'ADAM/eval/acc_task_3': 0.9770544290288152, 'ADAM/eval/acc_task_4': 0.9919436052366566, 'ADAM/eval/acc_task_5': 0.978819969742814, 'ADAM/eval/bwt': -0.001679380815050424, 'ADAM/global_epoch': 19, 'ADAM/train/loss': 0.2700259687789416, '_runtime': 131, '_step': 30, '_timestamp': 1779454221.1624453, '_wandb': {'runtime': 131}, 'adam/eval/average_accuracy': 0.9856593952645094, 'adam/results': {'acc': {'1': [0.9981087470449173, 0, 0, 0, 0], '2': [0.9981087470449173, 0.984818805093046, 0, 0, 0], '3': [0.9981087470449173, 0.9843290891283056, 0.9813233724653148, 0, 0], '4': [0.9981087470449173, 0.9833496571988248, 0.9818569903948772, 0.9919436052366566, 0], '5': [0.9981087470449173, 0.9823702252693438, 0.9770544290288152, 0.9919436052366566, 0.978819969742814]}, 'bwt': -0.001679380815050424}, 'best/average_accuracy': 0.9856593952645094, 'best/bwt': -0.001679380815050424, 'best/results': {'acc': {'1': [0.9981087470449173, 0, 0, 0, 0], '2': [0.9981087470449173, 0.984818805093046, 0, 0, 0], '3': [0.9981087470449173, 0.9843290891283056, 0.9813233724653148, 0, 0], '4': [0.9981087470449173, 0.9833496571988248, 0.9818569903948772, 0.9919436052366566, 0], '5': [0.9981087470449173, 0.9823702252693438, 0.9770544290288152, 0.9919436052366566, 0.978819969742814]}, 'bwt': -0.001679380815050424}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 701, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 40, 'max_directions': 80, 'fisher_clipping': False, 'hyper_hidden_dim': 8, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
