,summary,config
0,"{'_runtime': 2, '_wandb': {'runtime': 2}}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
1,"{'_runtime': 0, '_wandb': {'runtime': 0}}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 811, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
2,"{'_runtime': 104, '_step': 10, '_timestamp': 1779476121.641441, '_wandb': {'runtime': 104}, 'eFOPNG/eval/acc_task_1': 0.939, 'eFOPNG/eval/acc_task_2': 0.4965, 'eFOPNG/eval/acc_task_3': 0.4295, 'eFOPNG/eval/acc_task_4': 0.4975, 'eFOPNG/eval/acc_task_5': 0.411, 'eFOPNG/fisher/max': 0.164008229970932, 'eFOPNG/fisher/mean': 4.132292451686226e-05, 'eFOPNG/fisher/min': 0, 'eFOPNG/fisher_overlap/cosine': 1, 'eFOPNG/fisher_overlap/pearson': 1, 'eFOPNG/fisher_overlap/topk_iou': 1, 'eFOPNG/global_epoch': 8, 'eFOPNG/memory/G_cols': 80, 'eFOPNG/train/correction_norm': 0.4720395402573049, 'eFOPNG/train/loss': 0.4578157521039248, 'eFOPNG/train/raw_rho': 0.9600224250555038, 'eFOPNG/train/reg_penalty': 0, 'eFOPNG/train/weighted_rho': 0.8834683458209038, 'task': 2, 'task_completed': 1}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
3,"{'_runtime': 257, '_step': 41, '_timestamp': 1779476451.2818036, '_wandb': {'runtime': 257}, 'best/average_accuracy': 0.8074999999999999, 'best/bwt': -0.11424999999999996, 'best/results': {'acc': {'1': [0.948, 0.5015, 0.5005, 0.5965, 0.5245], '2': [0.8695, 0.8125, 0.5, 0.5055, 0.7655], '3': [0.812, 0.699, 0.867, 0.494, 0.6935], '4': [0.8035, 0.6845, 0.8255, 0.939, 0.6495], '5': [0.884, 0.686, 0.6755, 0.864, 0.928]}, 'bwt': -0.11424999999999996}, 'eFOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG  Overlapping Accuracies (Colored)_36_9df984e2649c5126573d.png', 'sha256': '9df984e2649c5126573d4bc3a57ea42f45861435f888454a3bc627ebd9076e5a', 'size': 81751, 'width': 1000}, 'eFOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG FRECHET CORR MATRIX_35_a8e7d2727d9fe1bd830c.png', 'sha256': 'a8e7d2727d9fe1bd830c794c8099fd7c0e9fb5299cf9b6c7c8208254940a29f2', 'size': 34054, 'width': 800}, 'eFOPNG/eval/acc_task_1': 0.884, 'eFOPNG/eval/acc_task_2': 0.686, 'eFOPNG/eval/acc_task_3': 0.6755, 'eFOPNG/eval/acc_task_4': 0.864, 'eFOPNG/eval/acc_task_5': 0.928, 'eFOPNG/eval/bwt': -0.11424999999999996, 'eFOPNG/fisher/max': 5.0627760887146, 'eFOPNG/fisher/mean': 0.0012934372061863542, 'eFOPNG/fisher/min': 0, 'eFOPNG/fisher_overlap/cosine': 0.5605805516242981, 'eFOPNG/fisher_overlap/pearson': 0.5597204566001892, 'eFOPNG/fisher_overlap/topk_iou': 0.4746895416687447, 'eFOPNG/global_epoch': 24, 'eFOPNG/memory/G_cols': 400, 'eFOPNG/train/correction_norm': 6.939190209850902, 'eFOPNG/train/loss': 0.27303923597646645, 'eFOPNG/train/raw_rho': 0.9794845383167268, 'eFOPNG/train/reg_penalty': 0, 'eFOPNG/train/weighted_rho': 1.3595796364545822, 'efopng/eval/average_accuracy': 0.8074999999999999, 'efopng/results': {'acc': {'1': [0.948, 0.5015, 0.5005, 0.5965, 0.5245], '2': [0.8695, 0.8125, 0.5, 0.5055, 0.7655], '3': [0.812, 0.699, 0.867, 0.494, 0.6935], '4': [0.8035, 0.6845, 0.8255, 0.939, 0.6495], '5': [0.884, 0.686, 0.6755, 0.864, 0.928]}, 'bwt': -0.11424999999999996}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
4,"{'_runtime': 239, '_step': 41, '_timestamp': 1779476699.8632336, '_wandb': {'runtime': 239}, 'best/average_accuracy': 0.7994, 'best/bwt': -0.12524999999999997, 'best/results': {'acc': {'1': [0.961, 0.5, 0.5, 0.468, 0.436], '2': [0.898, 0.789, 0.5, 0.474, 0.5335], '3': [0.8485, 0.708, 0.878, 0.5015, 0.5045], '4': [0.813, 0.6325, 0.8145, 0.942, 0.6115], '5': [0.884, 0.661, 0.6575, 0.8665, 0.928]}, 'bwt': -0.12524999999999997}, 'eFOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG  Overlapping Accuracies (Colored)_36_99a51f018f611d41cef0.png', 'sha256': '99a51f018f611d41cef0e9ea3b35410da339b0349e9437fafe9e6b9b8827ea8e', 'size': 74365, 'width': 1000}, 'eFOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG FRECHET CORR MATRIX_35_74e71734aaa53d4e39e0.png', 'sha256': '74e71734aaa53d4e39e0dbb0e19a1d676bdb6e715b96f6651a95d3cb3f451e2e', 'size': 35049, 'width': 800}, 'eFOPNG/eval/acc_task_1': 0.884, 'eFOPNG/eval/acc_task_2': 0.661, 'eFOPNG/eval/acc_task_3': 0.6575, 'eFOPNG/eval/acc_task_4': 0.8665, 'eFOPNG/eval/acc_task_5': 0.928, 'eFOPNG/eval/bwt': -0.12524999999999997, 'eFOPNG/fisher/max': 15.234665870666504, 'eFOPNG/fisher/mean': 0.0021497041452676058, 'eFOPNG/fisher/min': 0, 'eFOPNG/fisher_overlap/cosine': 0.4785461723804474, 'eFOPNG/fisher_overlap/pearson': 0.47769778966903687, 'eFOPNG/fisher_overlap/topk_iou': 0.4942800290578314, 'eFOPNG/global_epoch': 24, 'eFOPNG/memory/G_cols': 400, 'eFOPNG/train/correction_norm': 11.85032915903628, 'eFOPNG/train/loss': 0.2786692697853432, 'eFOPNG/train/raw_rho': 1.2292751194238662, 'eFOPNG/train/reg_penalty': 0, 'eFOPNG/train/weighted_rho': 3.004858601689339, 'efopng/eval/average_accuracy': 0.7994, 'efopng/results': {'acc': {'1': [0.961, 0.5, 0.5, 0.468, 0.436], '2': [0.898, 0.789, 0.5, 0.474, 0.5335], '3': [0.8485, 0.708, 0.878, 0.5015, 0.5045], '4': [0.813, 0.6325, 0.8145, 0.942, 0.6115], '5': [0.884, 0.661, 0.6575, 0.8665, 0.928]}, 'bwt': -0.12524999999999997}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
5,"{'_runtime': 239, '_step': 41, '_timestamp': 1779476948.6326802, '_wandb': {'runtime': 239}, 'best/average_accuracy': 0.8180999999999999, 'best/bwt': -0.105875, 'best/results': {'acc': {'1': [0.967, 0.4105, 0.531, 0.675, 0.605], '2': [0.8875, 0.8125, 0.3985, 0.547, 0.685], '3': [0.8445, 0.698, 0.863, 0.5375, 0.675], '4': [0.8335, 0.663, 0.8045, 0.939, 0.564], '5': [0.896, 0.6885, 0.688, 0.8855, 0.9325]}, 'bwt': -0.105875}, 'eFOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG  Overlapping Accuracies (Colored)_36_fb5e0b02e741d26637f5.png', 'sha256': 'fb5e0b02e741d26637f5b44d8c971f275908c285e4251194518ec7ce2ad38d61', 'size': 79152, 'width': 1000}, 'eFOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG FRECHET CORR MATRIX_35_11c61101799148a3d6b1.png', 'sha256': '11c61101799148a3d6b1197f1254c37801596bcf2b54f2252fd9e77b6277a8bb', 'size': 33303, 'width': 800}, 'eFOPNG/eval/acc_task_1': 0.896, 'eFOPNG/eval/acc_task_2': 0.6885, 'eFOPNG/eval/acc_task_3': 0.688, 'eFOPNG/eval/acc_task_4': 0.8855, 'eFOPNG/eval/acc_task_5': 0.9325, 'eFOPNG/eval/bwt': -0.105875, 'eFOPNG/fisher/max': 13.22442626953125, 'eFOPNG/fisher/mean': 0.0019184636184945705, 'eFOPNG/fisher/min': 0, 'eFOPNG/fisher_overlap/cosine': 0.5336381196975708, 'eFOPNG/fisher_overlap/pearson': 0.532916784286499, 'eFOPNG/fisher_overlap/topk_iou': 0.4679996772972403, 'eFOPNG/global_epoch': 24, 'eFOPNG/memory/G_cols': 400, 'eFOPNG/train/correction_norm': 17.98963568080554, 'eFOPNG/train/loss': 0.28389638424605257, 'eFOPNG/train/raw_rho': 1.6444768977165225, 'eFOPNG/train/reg_penalty': 0, 'eFOPNG/train/weighted_rho': 5.6460910609960555, 'efopng/eval/average_accuracy': 0.8180999999999999, 'efopng/results': {'acc': {'1': [0.967, 0.4105, 0.531, 0.675, 0.605], '2': [0.8875, 0.8125, 0.3985, 0.547, 0.685], '3': [0.8445, 0.698, 0.863, 0.5375, 0.675], '4': [0.8335, 0.663, 0.8045, 0.939, 0.564], '5': [0.896, 0.6885, 0.688, 0.8855, 0.9325]}, 'bwt': -0.105875}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 811, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
6,"{'FOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/FOPNG  Overlapping Accuracies (Colored)_36_23dfdb879552ef1682ca.png', 'sha256': '23dfdb879552ef1682ca74001f75e75f3d1853aa018456ef14d3bfb7b3aa4f97', 'size': 84810, 'width': 1000}, 'FOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/FOPNG FRECHET CORR MATRIX_35_fc25505ba04afa6af032.png', 'sha256': 'fc25505ba04afa6af032b37f7be8bdf833663c734e486a6a41c70152c254ace5', 'size': 35095, 'width': 800}, 'FOPNG/eval/acc_task_1': 0.831, 'FOPNG/eval/acc_task_2': 0.5835, 'FOPNG/eval/acc_task_3': 0.541, 'FOPNG/eval/acc_task_4': 0.6685, 'FOPNG/eval/acc_task_5': 0.9305, 'FOPNG/eval/bwt': -0.2335, 'FOPNG/fisher/max': 23.872163772583008, 'FOPNG/fisher/mean': 0.004712091293185949, 'FOPNG/fisher/min': 0, 'FOPNG/fisher_overlap/cosine': 0.5309521555900574, 'FOPNG/fisher_overlap/pearson': 0.5303453207015991, 'FOPNG/fisher_overlap/topk_iou': 0.5303182232803069, 'FOPNG/global_epoch': 24, 'FOPNG/memory/G_cols': 400, 'FOPNG/train/correction_norm': 20.16854776608324, 'FOPNG/train/loss': 0.3643246734476744, 'FOPNG/train/raw_rho': 1.4624707194566726, 'FOPNG/train/reg_penalty': 0, 'FOPNG/train/weighted_rho': 3.311561915814877, '_runtime': 245, '_step': 41, '_timestamp': 1779477203.2952192, '_wandb': {'runtime': 245}, 'best/average_accuracy': 0.7108999999999999, 'best/bwt': -0.2335, 'best/results': {'acc': {'1': [0.9435, 0.5, 0.5535, 0.44, 0.285], '2': [0.8555, 0.8045, 0.506, 0.474, 0.2285], '3': [0.765, 0.701, 0.867, 0.533, 0.3035], '4': [0.5245, 0.5375, 0.6515, 0.943, 0.4275], '5': [0.831, 0.5835, 0.541, 0.6685, 0.9305]}, 'bwt': -0.2335}, 'fopng/eval/average_accuracy': 0.7108999999999999, 'fopng/results': {'acc': {'1': [0.9435, 0.5, 0.5535, 0.44, 0.285], '2': [0.8555, 0.8045, 0.506, 0.474, 0.2285], '3': [0.765, 0.701, 0.867, 0.533, 0.3035], '4': [0.5245, 0.5375, 0.6515, 0.943, 0.4275], '5': [0.831, 0.5835, 0.541, 0.6685, 0.9305]}, 'bwt': -0.2335}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['fopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
7,"{'FOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/FOPNG  Overlapping Accuracies (Colored)_36_25b819e1558311fc7cfb.png', 'sha256': '25b819e1558311fc7cfb877b7be94348fbc9e09a9759720c9c25923d54165bf7', 'size': 88812, 'width': 1000}, 'FOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/FOPNG FRECHET CORR MATRIX_35_c3e74f2e4359bebd41ba.png', 'sha256': 'c3e74f2e4359bebd41bad0baf95a866f7f5b82f22e8d56cf18e43f1fdb6447de', 'size': 34535, 'width': 800}, 'FOPNG/eval/acc_task_1': 0.877, 'FOPNG/eval/acc_task_2': 0.682, 'FOPNG/eval/acc_task_3': 0.5975, 'FOPNG/eval/acc_task_4': 0.6555, 'FOPNG/eval/acc_task_5': 0.9335, 'FOPNG/eval/bwt': -0.18862499999999996, 'FOPNG/fisher/max': 38.16867446899414, 'FOPNG/fisher/mean': 0.00937639456242323, 'FOPNG/fisher/min': 0, 'FOPNG/fisher_overlap/cosine': 0.3757774829864502, 'FOPNG/fisher_overlap/pearson': 0.3750016391277313, 'FOPNG/fisher_overlap/topk_iou': 0.4532363493389689, 'FOPNG/global_epoch': 24, 'FOPNG/memory/G_cols': 400, 'FOPNG/train/correction_norm': 11.533736038115014, 'FOPNG/train/loss': 0.3894174227784697, 'FOPNG/train/raw_rho': 0.9398358339071272, 'FOPNG/train/reg_penalty': 0, 'FOPNG/train/weighted_rho': 1.0870702035427091, '_runtime': 244, '_step': 41, '_timestamp': 1779477457.50729, '_wandb': {'runtime': 244}, 'best/average_accuracy': 0.7491000000000001, 'best/bwt': -0.18862499999999996, 'best/results': {'acc': {'1': [0.9465, 0.626, 0.5785, 0.512, 0.7605], '2': [0.8705, 0.7995, 0.634, 0.507, 0.7765], '3': [0.8035, 0.6945, 0.8805, 0.501, 0.6235], '4': [0.779, 0.6, 0.4945, 0.94, 0.534], '5': [0.877, 0.682, 0.5975, 0.6555, 0.9335]}, 'bwt': -0.18862499999999996}, 'fopng/eval/average_accuracy': 0.7491000000000001, 'fopng/results': {'acc': {'1': [0.9465, 0.626, 0.5785, 0.512, 0.7605], '2': [0.8705, 0.7995, 0.634, 0.507, 0.7765], '3': [0.8035, 0.6945, 0.8805, 0.501, 0.6235], '4': [0.779, 0.6, 0.4945, 0.94, 0.534], '5': [0.877, 0.682, 0.5975, 0.6555, 0.9335]}, 'bwt': -0.18862499999999996}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['fopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
8,"{'FOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/FOPNG  Overlapping Accuracies (Colored)_36_95116aa6a1ce8f91db76.png', 'sha256': '95116aa6a1ce8f91db76834b6c174bc2529a8ac77a40a1d55f81c3e101636b02', 'size': 85459, 'width': 1000}, 'FOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/FOPNG FRECHET CORR MATRIX_35_823cf3dee8eb99447049.png', 'sha256': '823cf3dee8eb994470491ba25c06ef7b26ab4b57027d2858b9386e0ffd2e1c0f', 'size': 34865, 'width': 800}, 'FOPNG/eval/acc_task_1': 0.87, 'FOPNG/eval/acc_task_2': 0.622, 'FOPNG/eval/acc_task_3': 0.57, 'FOPNG/eval/acc_task_4': 0.6745, 'FOPNG/eval/acc_task_5': 0.925, 'FOPNG/eval/bwt': -0.20937500000000003, 'FOPNG/fisher/max': 35.053775787353516, 'FOPNG/fisher/mean': 0.007301331963390112, 'FOPNG/fisher/min': 0, 'FOPNG/fisher_overlap/cosine': 0.5541108250617981, 'FOPNG/fisher_overlap/pearson': 0.5535078644752502, 'FOPNG/fisher_overlap/topk_iou': 0.4483425786463882, 'FOPNG/global_epoch': 24, 'FOPNG/memory/G_cols': 400, 'FOPNG/train/correction_norm': 36.63384164616714, 'FOPNG/train/loss': 0.3760007867871039, 'FOPNG/train/raw_rho': 1.8384052641391757, 'FOPNG/train/reg_penalty': 0, 'FOPNG/train/weighted_rho': 4.701975488781929, '_runtime': 242, '_step': 41, '_timestamp': 1779477708.745677, '_wandb': {'runtime': 242}, 'best/average_accuracy': 0.7323000000000001, 'best/bwt': -0.20937500000000003, 'best/results': {'acc': {'1': [0.957, 0.459, 0.567, 0.5, 0.4955], '2': [0.8745, 0.809, 0.6995, 0.5, 0.646], '3': [0.7335, 0.6755, 0.8645, 0.4975, 0.6595], '4': [0.7315, 0.5475, 0.529, 0.9435, 0.5715], '5': [0.87, 0.622, 0.57, 0.6745, 0.925]}, 'bwt': -0.20937500000000003}, 'fopng/eval/average_accuracy': 0.7323000000000001, 'fopng/results': {'acc': {'1': [0.957, 0.459, 0.567, 0.5, 0.4955], '2': [0.8745, 0.809, 0.6995, 0.5, 0.646], '3': [0.7335, 0.6755, 0.8645, 0.4975, 0.6595], '4': [0.7315, 0.5475, 0.529, 0.9435, 0.5715], '5': [0.87, 0.622, 0.57, 0.6745, 0.925]}, 'bwt': -0.20937500000000003}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 811, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['fopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
9,"{'OGD  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/OGD  Overlapping Accuracies (Colored)_29_e72d4fdb83a204e42153.png', 'sha256': 'e72d4fdb83a204e421539192d4bd07049175888ba14f80da1cb59b03ebedeb3a', 'size': 88759, 'width': 1000}, 'OGD/eval/acc_task_1': 0.7935, 'OGD/eval/acc_task_2': 0.5875, 'OGD/eval/acc_task_3': 0.587, 'OGD/eval/acc_task_4': 0.704, 'OGD/eval/acc_task_5': 0.9565, 'OGD/eval/bwt': -0.2435, 'OGD/global_epoch': 23, 'OGD/train/correction_norm': 1.123139757053228, 'OGD/train/loss': 0.08296945128387233, 'OGD/train/raw_rho': 0.8222128464579582, 'OGD/train/reg_penalty': 0, 'OGD/train/weighted_rho': 0.8222128464579582, '_runtime': 215, '_step': 34, '_timestamp': 1779477932.8353033, '_wandb': {'runtime': 215}, 'best/average_accuracy': 0.7257, 'best/bwt': -0.2435, 'best/results': {'acc': {'1': [0.962, 0.489, 0.4645, 0.6435, 0.537], '2': [0.8035, 0.8255, 0.3585, 0.529, 0.6405], '3': [0.6895, 0.665, 0.913, 0.578, 0.488], '4': [0.5935, 0.5965, 0.7985, 0.9455, 0.509], '5': [0.7935, 0.5875, 0.587, 0.704, 0.9565]}, 'bwt': -0.2435}, 'ogd/eval/average_accuracy': 0.7257, 'ogd/results': {'acc': {'1': [0.962, 0.489, 0.4645, 0.6435, 0.537], '2': [0.8035, 0.8255, 0.3585, 0.529, 0.6405], '3': [0.6895, 0.665, 0.913, 0.578, 0.488], '4': [0.5935, 0.5965, 0.7985, 0.9455, 0.509], '5': [0.7935, 0.5875, 0.587, 0.704, 0.9565]}, 'bwt': -0.2435}, 'task': 5, 'task_completed': 5}","{'lr': 0.05, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ogd'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 404, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adam', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
