,summary,config
0,"{'_runtime': 97, '_step': 4, '_timestamp': 1780669776.486801, '_wandb': {'runtime': 97}, 'iFOPNG/global_epoch': 4, 'iFOPNG/train/loss': 0.3734353846117543, 'task': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
1,"{'_runtime': 104, '_step': 4, '_timestamp': 1780669892.6715045, '_wandb': {'runtime': 104}, 'iFOPNG/global_epoch': 4, 'iFOPNG/train/loss': 0.3700828354619443, 'task': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
2,"{'_runtime': 98, '_step': 4, '_timestamp': 1780670000.4145174, '_wandb': {'runtime': 98}, 'iFOPNG/global_epoch': 4, 'iFOPNG/train/loss': 0.3684855190192659, 'task': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 2137, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
3,"{'_runtime': 105, '_step': 4, '_timestamp': 1780670113.7548587, '_wandb': {'runtime': 105}, 'iFOPNG/global_epoch': 4, 'iFOPNG/train/loss': 0.3738874532679717, 'task': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 811, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
4,"{'_runtime': 107, '_step': 4, '_timestamp': 1780670228.5815475, '_wandb': {'runtime': 107}, 'iFOPNG/global_epoch': 4, 'iFOPNG/train/loss': 0.3804933394103621, 'task': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 111, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
5,"{'_runtime': 438, '_step': 16, '_timestamp': 1780671529.4842672, '_wandb': {'runtime': 438}, 'iFOPNG/eval/acc_task_1': 0.9029, 'iFOPNG/eval/acc_task_10': 0.0798, 'iFOPNG/eval/acc_task_11': 0.1089, 'iFOPNG/eval/acc_task_12': 0.0727, 'iFOPNG/eval/acc_task_13': 0.0817, 'iFOPNG/eval/acc_task_14': 0.116, 'iFOPNG/eval/acc_task_15': 0.1143, 'iFOPNG/eval/acc_task_16': 0.0653, 'iFOPNG/eval/acc_task_17': 0.0894, 'iFOPNG/eval/acc_task_18': 0.1391, 'iFOPNG/eval/acc_task_19': 0.0907, 'iFOPNG/eval/acc_task_2': 0.0935, 'iFOPNG/eval/acc_task_20': 0.1274, 'iFOPNG/eval/acc_task_3': 0.1245, 'iFOPNG/eval/acc_task_4': 0.095, 'iFOPNG/eval/acc_task_5': 0.1229, 'iFOPNG/eval/acc_task_6': 0.1084, 'iFOPNG/eval/acc_task_7': 0.1257, 'iFOPNG/eval/acc_task_8': 0.0751, 'iFOPNG/eval/acc_task_9': 0.0856, 'iFOPNG/fisher/max': 0.3055623769760132, 'iFOPNG/fisher/mean': 0.001077962340787053, 'iFOPNG/fisher/min': 0, 'iFOPNG/fisher_overlap/cosine': 1, 'iFOPNG/fisher_overlap/pearson': 1, 'iFOPNG/fisher_overlap/topk_iou': 1, 'iFOPNG/global_epoch': 9, 'iFOPNG/memory/G_cols': 80, 'iFOPNG/projection/cond_A/1': 10025.345703125, 'iFOPNG/projection/cond_A/2': 9670.7490234375, 'iFOPNG/projection/cond_A/3': 8563.521484375, 'iFOPNG/projection/cond_A/4': 7973.97802734375, 'iFOPNG/projection/cond_A/5': 7580.15087890625, 'iFOPNG/projection/log10_cond_A/1': 4.0010993572893225, 'iFOPNG/projection/log10_cond_A/2': 3.9854601125677873, 'iFOPNG/projection/log10_cond_A/3': 3.9326523916324936, 'iFOPNG/projection/log10_cond_A/4': 3.901675034609984, 'iFOPNG/projection/log10_cond_A/5': 3.879677850120746, 'iFOPNG/train/correction_norm': 0.2560032262438908, 'iFOPNG/train/loss': 0.3449521586926033, 'iFOPNG/train/raw_rho': 0.9682388361096382, 'iFOPNG/train/reg_penalty': 0, 'iFOPNG/train/weighted_rho': 0.8286687901318073, 'task': 2, 'task_completed': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
6,"{'_runtime': 438, '_step': 16, '_timestamp': 1780671979.5569534, '_wandb': {'runtime': 438}, 'iFOPNG/eval/acc_task_1': 0.902, 'iFOPNG/eval/acc_task_10': 0.0814, 'iFOPNG/eval/acc_task_11': 0.0984, 'iFOPNG/eval/acc_task_12': 0.0767, 'iFOPNG/eval/acc_task_13': 0.0704, 'iFOPNG/eval/acc_task_14': 0.0881, 'iFOPNG/eval/acc_task_15': 0.118, 'iFOPNG/eval/acc_task_16': 0.0837, 'iFOPNG/eval/acc_task_17': 0.1028, 'iFOPNG/eval/acc_task_18': 0.0881, 'iFOPNG/eval/acc_task_19': 0.0991, 'iFOPNG/eval/acc_task_2': 0.1163, 'iFOPNG/eval/acc_task_20': 0.1468, 'iFOPNG/eval/acc_task_3': 0.0696, 'iFOPNG/eval/acc_task_4': 0.0728, 'iFOPNG/eval/acc_task_5': 0.1369, 'iFOPNG/eval/acc_task_6': 0.1174, 'iFOPNG/eval/acc_task_7': 0.1319, 'iFOPNG/eval/acc_task_8': 0.0857, 'iFOPNG/eval/acc_task_9': 0.1103, 'iFOPNG/fisher/max': 0.3448318541049957, 'iFOPNG/fisher/mean': 0.0010705955792218449, 'iFOPNG/fisher/min': 0, 'iFOPNG/fisher_overlap/cosine': 1, 'iFOPNG/fisher_overlap/pearson': 1, 'iFOPNG/fisher_overlap/topk_iou': 1, 'iFOPNG/global_epoch': 9, 'iFOPNG/memory/G_cols': 80, 'iFOPNG/projection/cond_A/1': 11829.15234375, 'iFOPNG/projection/cond_A/2': 10409.2431640625, 'iFOPNG/projection/cond_A/3': 9491.033203125, 'iFOPNG/projection/cond_A/4': 8968.8876953125, 'iFOPNG/projection/cond_A/5': 8730.6796875, 'iFOPNG/projection/log10_cond_A/1': 4.072953624964239, 'iFOPNG/projection/log10_cond_A/2': 4.01741915394663, 'iFOPNG/projection/log10_cond_A/3': 3.977313492721417, 'iFOPNG/projection/log10_cond_A/4': 3.9527385859937776, 'iFOPNG/projection/log10_cond_A/5': 3.941048055050386, 'iFOPNG/train/correction_norm': 0.2039518770252665, 'iFOPNG/train/loss': 0.340457531119852, 'iFOPNG/train/raw_rho': 0.9770416325032713, 'iFOPNG/train/reg_penalty': 0, 'iFOPNG/train/weighted_rho': 0.867709996163845, 'task': 2, 'task_completed': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
7,"{'_runtime': 433, '_step': 16, '_timestamp': 1780672423.0119307, '_wandb': {'runtime': 433}, 'iFOPNG/eval/acc_task_1': 0.9019, 'iFOPNG/eval/acc_task_10': 0.0825, 'iFOPNG/eval/acc_task_11': 0.11, 'iFOPNG/eval/acc_task_12': 0.0777, 'iFOPNG/eval/acc_task_13': 0.0918, 'iFOPNG/eval/acc_task_14': 0.1002, 'iFOPNG/eval/acc_task_15': 0.1232, 'iFOPNG/eval/acc_task_16': 0.068, 'iFOPNG/eval/acc_task_17': 0.0786, 'iFOPNG/eval/acc_task_18': 0.098, 'iFOPNG/eval/acc_task_19': 0.1023, 'iFOPNG/eval/acc_task_2': 0.1104, 'iFOPNG/eval/acc_task_20': 0.1281, 'iFOPNG/eval/acc_task_3': 0.1232, 'iFOPNG/eval/acc_task_4': 0.0774, 'iFOPNG/eval/acc_task_5': 0.1031, 'iFOPNG/eval/acc_task_6': 0.1292, 'iFOPNG/eval/acc_task_7': 0.1389, 'iFOPNG/eval/acc_task_8': 0.0712, 'iFOPNG/eval/acc_task_9': 0.0937, 'iFOPNG/fisher/max': 0.2987014353275299, 'iFOPNG/fisher/mean': 0.0010608159936964512, 'iFOPNG/fisher/min': 0, 'iFOPNG/fisher_overlap/cosine': 1, 'iFOPNG/fisher_overlap/pearson': 1, 'iFOPNG/fisher_overlap/topk_iou': 1, 'iFOPNG/global_epoch': 9, 'iFOPNG/memory/G_cols': 80, 'iFOPNG/projection/cond_A/1': 12117.9697265625, 'iFOPNG/projection/cond_A/2': 10410.0478515625, 'iFOPNG/projection/cond_A/3': 9440.861328125, 'iFOPNG/projection/cond_A/4': 8820.7265625, 'iFOPNG/projection/cond_A/5': 8498.0927734375, 'iFOPNG/projection/log10_cond_A/1': 4.083429863195725, 'iFOPNG/projection/log10_cond_A/2': 4.017452725823867, 'iFOPNG/projection/log10_cond_A/3': 3.9750116185551994, 'iFOPNG/projection/log10_cond_A/4': 3.9455043594048993, 'iFOPNG/projection/log10_cond_A/5': 3.9293214679599022, 'iFOPNG/train/correction_norm': 0.2271160091520287, 'iFOPNG/train/loss': 0.339749759986531, 'iFOPNG/train/raw_rho': 0.9715839152534804, 'iFOPNG/train/reg_penalty': 0, 'iFOPNG/train/weighted_rho': 0.8441244219839573, 'task': 2, 'task_completed': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 2137, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
8,"{'_runtime': 423, '_step': 16, '_timestamp': 1780672857.1803749, '_wandb': {'runtime': 423}, 'iFOPNG/eval/acc_task_1': 0.9023, 'iFOPNG/eval/acc_task_10': 0.0979, 'iFOPNG/eval/acc_task_11': 0.0919, 'iFOPNG/eval/acc_task_12': 0.0704, 'iFOPNG/eval/acc_task_13': 0.0978, 'iFOPNG/eval/acc_task_14': 0.0791, 'iFOPNG/eval/acc_task_15': 0.1193, 'iFOPNG/eval/acc_task_16': 0.079, 'iFOPNG/eval/acc_task_17': 0.0848, 'iFOPNG/eval/acc_task_18': 0.109, 'iFOPNG/eval/acc_task_19': 0.1195, 'iFOPNG/eval/acc_task_2': 0.1201, 'iFOPNG/eval/acc_task_20': 0.092, 'iFOPNG/eval/acc_task_3': 0.0829, 'iFOPNG/eval/acc_task_4': 0.0902, 'iFOPNG/eval/acc_task_5': 0.1197, 'iFOPNG/eval/acc_task_6': 0.1014, 'iFOPNG/eval/acc_task_7': 0.117, 'iFOPNG/eval/acc_task_8': 0.0735, 'iFOPNG/eval/acc_task_9': 0.0876, 'iFOPNG/fisher/max': 0.2754427492618561, 'iFOPNG/fisher/mean': 0.001077390625141561, 'iFOPNG/fisher/min': 0, 'iFOPNG/fisher_overlap/cosine': 1, 'iFOPNG/fisher_overlap/pearson': 1, 'iFOPNG/fisher_overlap/topk_iou': 1, 'iFOPNG/global_epoch': 9, 'iFOPNG/memory/G_cols': 80, 'iFOPNG/projection/cond_A/1': 9663.912109375, 'iFOPNG/projection/cond_A/2': 8613.5009765625, 'iFOPNG/projection/cond_A/3': 7869.07958984375, 'iFOPNG/projection/cond_A/4': 7388.072265625, 'iFOPNG/projection/cond_A/5': 7069.40771484375, 'iFOPNG/projection/log10_cond_A/1': 3.985152971506048, 'iFOPNG/projection/log10_cond_A/2': 3.935179707291562, 'iFOPNG/projection/log10_cond_A/3': 3.8959239378954975, 'iFOPNG/projection/log10_cond_A/4': 3.868531134793201, 'iFOPNG/projection/log10_cond_A/5': 3.8493830295040903, 'iFOPNG/train/correction_norm': 0.22525316669931636, 'iFOPNG/train/loss': 0.33828495564047867, 'iFOPNG/train/raw_rho': 0.971464835256338, 'iFOPNG/train/reg_penalty': 0, 'iFOPNG/train/weighted_rho': 0.8441209593911966, 'task': 2, 'task_completed': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 811, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
9,"{'_runtime': 322.134339575, '_step': 14, '_timestamp': 1780673225.3726287, '_wandb': {'runtime': 322}, 'iFOPNG/eval/acc_task_1': 0.902, 'iFOPNG/eval/acc_task_10': 0.0791, 'iFOPNG/eval/acc_task_11': 0.0981, 'iFOPNG/eval/acc_task_12': 0.0587, 'iFOPNG/eval/acc_task_13': 0.0869, 'iFOPNG/eval/acc_task_14': 0.114, 'iFOPNG/eval/acc_task_15': 0.1248, 'iFOPNG/eval/acc_task_16': 0.0549, 'iFOPNG/eval/acc_task_17': 0.0862, 'iFOPNG/eval/acc_task_18': 0.0919, 'iFOPNG/eval/acc_task_19': 0.0783, 'iFOPNG/eval/acc_task_2': 0.0789, 'iFOPNG/eval/acc_task_20': 0.1352, 'iFOPNG/eval/acc_task_3': 0.0897, 'iFOPNG/eval/acc_task_4': 0.0783, 'iFOPNG/eval/acc_task_5': 0.1241, 'iFOPNG/eval/acc_task_6': 0.0885, 'iFOPNG/eval/acc_task_7': 0.1421, 'iFOPNG/eval/acc_task_8': 0.0623, 'iFOPNG/eval/acc_task_9': 0.0758, 'iFOPNG/fisher/max': 0.3187875747680664, 'iFOPNG/fisher/mean': 0.0011076369555667045, 'iFOPNG/fisher/min': 0, 'iFOPNG/fisher_overlap/cosine': 1, 'iFOPNG/fisher_overlap/pearson': 1, 'iFOPNG/fisher_overlap/topk_iou': 1, 'iFOPNG/global_epoch': 8, 'iFOPNG/memory/G_cols': 80, 'iFOPNG/projection/cond_A/1': 18273.6796875, 'iFOPNG/projection/cond_A/2': 18231.298828125, 'iFOPNG/projection/cond_A/3': 16227.41796875, 'iFOPNG/projection/cond_A/4': 15136.375, 'iFOPNG/projection/log10_cond_A/1': 4.261826008056848, 'iFOPNG/projection/log10_cond_A/2': 4.260817609620109, 'iFOPNG/projection/log10_cond_A/3': 4.210249422405887, 'iFOPNG/projection/log10_cond_A/4': 4.1800218787309, 'iFOPNG/train/correction_norm': 0.27634227979741993, 'iFOPNG/train/loss': 0.3742633979700816, 'iFOPNG/train/raw_rho': 0.9654848973254364, 'iFOPNG/train/reg_penalty': 0, 'iFOPNG/train/weighted_rho': 0.811173725426197, 'task': 2, 'task_completed': 1}","{'lr': 0.0001, 'lam': 0.001, 'beta': 0.1, 'seed': 111, 'task': 'permuted_mnist', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['ifopng'], 'normalize': False, 'num_tasks': 20, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'compression': 'stop', 'device_mode': 'gpu', 'num_of_tasks': 20, 'task_classes': None, 'experiment_id': 423, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'sgd', 'fisher_samples': 60000, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
