,summary,config
0,"{'_runtime': 241, '_step': 138, '_timestamp': 1779917938.5621216, '_wandb': {'runtime': 241}, 'best/average_accuracy': 0.6343438777723005, 'best/bwt': -0.42248935071174626, 'best/results': {'acc': {'1': [1, 0, 0, 0, 0], '2': [0.9995271867612292, 0.965230166503428, 0, 0, 0], '3': [0.9881796690307328, 0.9285014691478942, 0.9690501600853788, 0, 0], '4': [0.9990543735224586, 0.936826640548482, 0.8132337246531484, 0.9909365558912386, 0], '5': [0.991016548463357, 0.7262487757100882, 0.4172892209178228, 0.10070493454179257, 0.9364599092284418]}, 'bwt': -0.42248935071174626}, 'eFOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG  Overlapping Accuracies (Colored)_133_ed3124f93a885eb3afa1.png', 'sha256': 'ed3124f93a885eb3afa18ba98f7353753e07f518742f59bd313db24cfbc79eb0', 'size': 74563, 'width': 1000}, 'eFOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG FRECHET CORR MATRIX_132_46db7855a55e8dd864a8.png', 'sha256': '46db7855a55e8dd864a8330d42e5dc059e4ee139b4af6e13668b8ec503f82b4e', 'size': 34388, 'width': 800}, 'eFOPNG/eval/acc_task_1': 0.991016548463357, 'eFOPNG/eval/acc_task_2': 0.7262487757100882, 'eFOPNG/eval/acc_task_3': 0.4172892209178228, 'eFOPNG/eval/acc_task_4': 0.10070493454179257, 'eFOPNG/eval/acc_task_5': 0.9364599092284418, 'eFOPNG/eval/bwt': -0.42248935071174626, 'eFOPNG/fisher/max': 121.30179595947266, 'eFOPNG/fisher/mean': 0.060727089643478394, 'eFOPNG/fisher/min': 6.066861626247665e-15, 'eFOPNG/fisher_overlap/cosine': 0.5283619165420532, 'eFOPNG/fisher_overlap/pearson': 0.5275481343269348, 'eFOPNG/fisher_overlap/topk_iou': 0.29818545506500926, 'eFOPNG/global_epoch': 61, 'eFOPNG/memory/G_cols': 400, 'eFOPNG/projection/cond_A/1': 1893.9486083984375, 'eFOPNG/projection/cond_A/10': 1424.507568359375, 'eFOPNG/projection/cond_A/11': 1457.316162109375, 'eFOPNG/projection/cond_A/12': 1384.287109375, 'eFOPNG/projection/cond_A/13': 1440.13427734375, 'eFOPNG/projection/cond_A/14': 1477.99072265625, 'eFOPNG/projection/cond_A/15': 1481.9720458984375, 'eFOPNG/projection/cond_A/16': 9894.7607421875, 'eFOPNG/projection/cond_A/17': 3298.51904296875, 'eFOPNG/projection/cond_A/18': 3276.889892578125, 'eFOPNG/projection/cond_A/19': 3410.009033203125, 'eFOPNG/projection/cond_A/2': 1006.8184814453124, 'eFOPNG/projection/cond_A/20': 3448.69970703125, 'eFOPNG/projection/cond_A/21': 3413.863037109375, 'eFOPNG/projection/cond_A/22': 3468.394287109375, 'eFOPNG/projection/cond_A/23': 3547.560791015625, 'eFOPNG/projection/cond_A/24': 3712.4990234375, 'eFOPNG/projection/cond_A/25': 3460.512939453125, 'eFOPNG/projection/cond_A/26': 3782.00146484375, 'eFOPNG/projection/cond_A/27': 3499.604736328125, 'eFOPNG/projection/cond_A/28': 3585.095703125, 'eFOPNG/projection/cond_A/29': 3546.16015625, 'eFOPNG/projection/cond_A/3': 1155.343017578125, 'eFOPNG/projection/cond_A/30': 3762.5751953125, 'eFOPNG/projection/cond_A/31': 6372.1181640625, 'eFOPNG/projection/cond_A/32': 11116.5302734375, 'eFOPNG/projection/cond_A/33': 11286.8173828125, 'eFOPNG/projection/cond_A/34': 11540.904296875, 'eFOPNG/projection/cond_A/35': 11574.7001953125, 'eFOPNG/projection/cond_A/36': 12025.169921875, 'eFOPNG/projection/cond_A/37': 11806.7158203125, 'eFOPNG/projection/cond_A/38': 11652.8857421875, 'eFOPNG/projection/cond_A/39': 11847.8173828125, 'eFOPNG/projection/cond_A/4': 1287.0789794921875, 'eFOPNG/projection/cond_A/40': 11681.9912109375, 'eFOPNG/projection/cond_A/41': 12263.7119140625, 'eFOPNG/projection/cond_A/42': 12070.0771484375, 'eFOPNG/projection/cond_A/43': 13234.2177734375, 'eFOPNG/projection/cond_A/44': 12192.0322265625, 'eFOPNG/projection/cond_A/45': 12453.005859375, 'eFOPNG/projection/cond_A/46': 33188.796875, 'eFOPNG/projection/cond_A/47': 44718.8125, 'eFOPNG/projection/cond_A/48': 40428.01171875, 'eFOPNG/projection/cond_A/49': 39580.16015625, 'eFOPNG/projection/cond_A/5': 1311.7501220703125, 'eFOPNG/projection/cond_A/50': 39197.08984375, 'eFOPNG/projection/cond_A/51': 36070.30078125, 'eFOPNG/projection/cond_A/52': 35190.65234375, 'eFOPNG/projection/cond_A/53': 36796.34765625, 'eFOPNG/projection/cond_A/54': 35517.92578125, 'eFOPNG/projection/cond_A/55': 35657.53515625, 'eFOPNG/projection/cond_A/56': 36446.53515625, 'eFOPNG/projection/cond_A/57': 35594.25390625, 'eFOPNG/projection/cond_A/58': 35995.1640625, 'eFOPNG/projection/cond_A/59': 35236.765625, 'eFOPNG/projection/cond_A/6': 1343.5511474609375, 'eFOPNG/projection/cond_A/60': 35790.9765625, 'eFOPNG/projection/cond_A/7': 1441.5274658203125, 'eFOPNG/projection/cond_A/8': 1491.066162109375, 'eFOPNG/projection/cond_A/9': 1458.175537109375, 'eFOPNG/projection/log10_cond_A/1': 3.27736819040549, 'eFOPNG/projection/log10_cond_A/10': 3.1536647609731663, 'eFOPNG/projection/log10_cond_A/11': 3.163553781395322, 'eFOPNG/projection/log10_cond_A/12': 3.141226174720194, 'eFOPNG/projection/log10_cond_A/13': 3.1584029873665544, 'eFOPNG/projection/log10_cond_A/14': 3.16967170800208, 'eFOPNG/projection/log10_cond_A/15': 3.1708400117225573, 'eFOPNG/projection/log10_cond_A/16': 3.9954052973191736, 'eFOPNG/projection/log10_cond_A/17': 3.5183189956871628, 'eFOPNG/projection/log10_cond_A/18': 3.515461848813222, 'eFOPNG/projection/log10_cond_A/19': 3.532755529451464, 'eFOPNG/projection/log10_cond_A/2': 3.0029511789820553, 'eFOPNG/projection/log10_cond_A/20': 3.537655380143837, 'eFOPNG/projection/log10_cond_A/21': 3.533246093398278, 'eFOPNG/projection/log10_cond_A/22': 3.5401284622131755, 'eFOPNG/projection/log10_cond_A/23': 3.5499298462652207, 'eFOPNG/projection/log10_cond_A/24': 3.5696663480853332, 'eFOPNG/projection/log10_cond_A/25': 3.539140477481582, 'eFOPNG/projection/log10_cond_A/26': 3.5777216927198707, 'eFOPNG/projection/log10_cond_A/27': 3.5440189956287433, 'eFOPNG/projection/log10_cond_A/28': 3.5545007535280373, 'eFOPNG/projection/log10_cond_A/29': 3.549758345874298, 'eFOPNG/projection/log10_cond_A/3': 3.062710943989841, 'eFOPNG/projection/log10_cond_A/30': 3.5754851880923866, 'eFOPNG/projection/log10_cond_A/31': 3.804283820726784, 'eFOPNG/projection/log10_cond_A/32': 4.04596925503004, 'eFOPNG/projection/log10_cond_A/33': 4.052571498352142, 'eFOPNG/projection/log10_cond_A/34': 4.062239839647791, 'eFOPNG/projection/log10_cond_A/35': 4.063509750859955, 'eFOPNG/projection/log10_cond_A/36': 4.08009122189504, 'eFOPNG/projection/log10_cond_A/37': 4.072129110190242, 'eFOPNG/projection/log10_cond_A/38': 4.066433488170223, 'eFOPNG/projection/log10_cond_A/39': 4.07363835153543, 'eFOPNG/projection/log10_cond_A/4': 3.1096051974911982, 'eFOPNG/projection/log10_cond_A/40': 4.067516875158017, 'eFOPNG/projection/log10_cond_A/41': 4.088621939987017, 'eFOPNG/projection/log10_cond_A/42': 4.081710045990772, 'eFOPNG/projection/log10_cond_A/43': 4.121698276825942, 'eFOPNG/projection/log10_cond_A/44': 4.086076101944982, 'eFOPNG/projection/log10_cond_A/45': 4.095274192442005, 'eFOPNG/projection/log10_cond_A/46': 4.520991509111853, 'eFOPNG/projection/log10_cond_A/47': 4.650490262419854, 'eFOPNG/projection/log10_cond_A/48': 4.60668238291644, 'eFOPNG/projection/log10_cond_A/49': 4.597477547193138, 'eFOPNG/projection/log10_cond_A/5': 3.117851113285441, 'eFOPNG/projection/log10_cond_A/50': 4.5932538243746155, 'eFOPNG/projection/log10_cond_A/51': 4.557149763806927, 'eFOPNG/projection/log10_cond_A/52': 4.546427317607144, 'eFOPNG/projection/log10_cond_A/53': 4.565804713470924, 'eFOPNG/projection/log10_cond_A/54': 4.550447595393148, 'eFOPNG/projection/log10_cond_A/55': 4.552151319068253, 'eFOPNG/projection/log10_cond_A/56': 4.56165624776935, 'eFOPNG/projection/log10_cond_A/57': 4.551379894090142, 'eFOPNG/projection/log10_cond_A/58': 4.5562441573771, 'eFOPNG/projection/log10_cond_A/59': 4.546996037774058, 'eFOPNG/projection/log10_cond_A/6': 3.1282542041798536, 'eFOPNG/projection/log10_cond_A/60': 4.553773548345827, 'eFOPNG/projection/log10_cond_A/7': 3.15882292153558, 'eFOPNG/projection/log10_cond_A/8': 3.1734969145472327, 'eFOPNG/projection/log10_cond_A/9': 3.1638098080760324, 'eFOPNG/train/correction_norm': 3.4839813008501723, 'eFOPNG/train/loss': 0.35171227898146656, 'eFOPNG/train/raw_rho': 0.8495391436525294, 'eFOPNG/train/reg_penalty': 0.19693783175300908, 'eFOPNG/train/weighted_rho': 0.5396058648019224, 'efopng/eval/average_accuracy': 0.6343438777723005, 'efopng/results': {'acc': {'1': [1, 0, 0, 0, 0], '2': [0.9995271867612292, 0.965230166503428, 0, 0, 0], '3': [0.9881796690307328, 0.9285014691478942, 0.9690501600853788, 0, 0], '4': [0.9990543735224586, 0.936826640548482, 0.8132337246531484, 0.9909365558912386, 0], '5': [0.991016548463357, 0.7262487757100882, 0.4172892209178228, 0.10070493454179257, 0.9364599092284418]}, 'bwt': -0.42248935071174626}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 412, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 4, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
1,"{'_runtime': 256, '_step': 138, '_timestamp': 1779918205.0774293, '_wandb': {'runtime': 256}, 'best/average_accuracy': 0.6408767363616026, 'best/bwt': -0.39670003773421664, 'best/results': {'acc': {'1': [0.998581560283688, 0, 0, 0, 0], '2': [0.9981087470449173, 0.9138099902056808, 0, 0, 0], '3': [0.997163120567376, 0.8129285014691479, 0.9503735325506936, 0, 0], '4': [0.9981087470449173, 0.9084231145935358, 0.08431163287086446, 0.9818731117824774, 0], '5': [0.6293144208037825, 0.7698334965719883, 0.5032017075773746, 0.3554884189325277, 0.94654563792234]}, 'bwt': -0.39670003773421664}, 'eFOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG  Overlapping Accuracies (Colored)_133_20b162af7bdce34abb90.png', 'sha256': '20b162af7bdce34abb90e228ac58c67334a9bb4e03d67e956462fd556acdd038', 'size': 78109, 'width': 1000}, 'eFOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG FRECHET CORR MATRIX_132_4a3938d3dc911e2dec07.png', 'sha256': '4a3938d3dc911e2dec07945f0955ca3105d831909c4f963bc63dcffc75494536', 'size': 32324, 'width': 800}, 'eFOPNG/eval/acc_task_1': 0.6293144208037825, 'eFOPNG/eval/acc_task_2': 0.7698334965719883, 'eFOPNG/eval/acc_task_3': 0.5032017075773746, 'eFOPNG/eval/acc_task_4': 0.3554884189325277, 'eFOPNG/eval/acc_task_5': 0.94654563792234, 'eFOPNG/eval/bwt': -0.39670003773421664, 'eFOPNG/fisher/max': 127.43767547607422, 'eFOPNG/fisher/mean': 0.0797504112124443, 'eFOPNG/fisher/min': 2.4486750111298375e-14, 'eFOPNG/fisher_overlap/cosine': 0.2482188493013382, 'eFOPNG/fisher_overlap/pearson': 0.24718408286571503, 'eFOPNG/fisher_overlap/topk_iou': 0.30941057789306814, 'eFOPNG/global_epoch': 61, 'eFOPNG/memory/G_cols': 400, 'eFOPNG/projection/cond_A/1': 90.1324462890625, 'eFOPNG/projection/cond_A/10': 173.8531494140625, 'eFOPNG/projection/cond_A/11': 170.5332489013672, 'eFOPNG/projection/cond_A/12': 160.14572143554688, 'eFOPNG/projection/cond_A/13': 158.50816345214844, 'eFOPNG/projection/cond_A/14': 155.17837524414062, 'eFOPNG/projection/cond_A/15': 156.59674072265625, 'eFOPNG/projection/cond_A/16': 4331.50537109375, 'eFOPNG/projection/cond_A/17': 5887.6708984375, 'eFOPNG/projection/cond_A/18': 4639.595703125, 'eFOPNG/projection/cond_A/19': 4515.8251953125, 'eFOPNG/projection/cond_A/2': 291.341064453125, 'eFOPNG/projection/cond_A/20': 4425.953125, 'eFOPNG/projection/cond_A/21': 4423.890625, 'eFOPNG/projection/cond_A/22': 4525.2841796875, 'eFOPNG/projection/cond_A/23': 4567.9443359375, 'eFOPNG/projection/cond_A/24': 4393.59326171875, 'eFOPNG/projection/cond_A/25': 4338.03369140625, 'eFOPNG/projection/cond_A/26': 4294.12939453125, 'eFOPNG/projection/cond_A/27': 4327.7802734375, 'eFOPNG/projection/cond_A/28': 4208.8115234375, 'eFOPNG/projection/cond_A/29': 4447.86865234375, 'eFOPNG/projection/cond_A/3': 254.33973693847656, 'eFOPNG/projection/cond_A/30': 4142.3642578125, 'eFOPNG/projection/cond_A/31': 26874.0546875, 'eFOPNG/projection/cond_A/32': 13914.4619140625, 'eFOPNG/projection/cond_A/33': 13616.162109375, 'eFOPNG/projection/cond_A/34': 13579.7021484375, 'eFOPNG/projection/cond_A/35': 13562.6064453125, 'eFOPNG/projection/cond_A/36': 13490.001953125, 'eFOPNG/projection/cond_A/37': 13647.7373046875, 'eFOPNG/projection/cond_A/38': 13508.099609375, 'eFOPNG/projection/cond_A/39': 13479.453125, 'eFOPNG/projection/cond_A/4': 279.94830322265625, 'eFOPNG/projection/cond_A/40': 13638.763671875, 'eFOPNG/projection/cond_A/41': 13453.19140625, 'eFOPNG/projection/cond_A/42': 13559.775390625, 'eFOPNG/projection/cond_A/43': 13500.96875, 'eFOPNG/projection/cond_A/44': 13578.2958984375, 'eFOPNG/projection/cond_A/45': 13377.3671875, 'eFOPNG/projection/cond_A/46': 36286.32421875, 'eFOPNG/projection/cond_A/47': 49906.921875, 'eFOPNG/projection/cond_A/48': 51591.16015625, 'eFOPNG/projection/cond_A/49': 52986.078125, 'eFOPNG/projection/cond_A/5': 284.8172607421875, 'eFOPNG/projection/cond_A/50': 52986.77734375, 'eFOPNG/projection/cond_A/51': 54594.89453125, 'eFOPNG/projection/cond_A/52': 55701.1953125, 'eFOPNG/projection/cond_A/53': 54938.05078125, 'eFOPNG/projection/cond_A/54': 56125.8984375, 'eFOPNG/projection/cond_A/55': 55637.44140625, 'eFOPNG/projection/cond_A/56': 55368.72265625, 'eFOPNG/projection/cond_A/57': 55422.3828125, 'eFOPNG/projection/cond_A/58': 56257.8984375, 'eFOPNG/projection/cond_A/59': 56081.84375, 'eFOPNG/projection/cond_A/6': 218.9370880126953, 'eFOPNG/projection/cond_A/60': 55990.3984375, 'eFOPNG/projection/cond_A/7': 176.8524932861328, 'eFOPNG/projection/cond_A/8': 184.81134033203125, 'eFOPNG/projection/cond_A/9': 181.42430114746097, 'eFOPNG/projection/log10_cond_A/1': 1.954881158433874, 'eFOPNG/projection/log10_cond_A/10': 2.2401825624956055, 'eFOPNG/projection/log10_cond_A/11': 2.231809066065378, 'eFOPNG/projection/log10_cond_A/12': 2.2045153402414632, 'eFOPNG/projection/log10_cond_A/13': 2.2000516340674867, 'eFOPNG/projection/log10_cond_A/14': 2.190831200385539, 'eFOPNG/projection/log10_cond_A/15': 2.194782718763459, 'eFOPNG/projection/log10_cond_A/16': 3.636638857263232, 'eFOPNG/projection/log10_cond_A/17': 3.769943526365604, 'eFOPNG/projection/log10_cond_A/18': 3.6664801375480103, 'eFOPNG/projection/log10_cond_A/19': 3.6547371223183607, 'eFOPNG/projection/log10_cond_A/2': 2.464401702645113, 'eFOPNG/projection/log10_cond_A/20': 3.646006810029187, 'eFOPNG/projection/log10_cond_A/21': 3.645804381057457, 'eFOPNG/projection/log10_cond_A/22': 3.655645857308043, 'eFOPNG/projection/log10_cond_A/23': 3.65972080304373, 'eFOPNG/projection/log10_cond_A/24': 3.6428198494967994, 'eFOPNG/projection/log10_cond_A/25': 3.6372929206461326, 'eFOPNG/projection/log10_cond_A/26': 3.6328751268455113, 'eFOPNG/projection/log10_cond_A/27': 3.636265203009782, 'eFOPNG/projection/log10_cond_A/28': 3.6241594778592576, 'eFOPNG/projection/log10_cond_A/29': 3.648151953842757, 'eFOPNG/projection/log10_cond_A/3': 2.405414217764843, 'eFOPNG/projection/log10_cond_A/30': 3.6172482858182566, 'eFOPNG/projection/log10_cond_A/31': 4.429333196599088, 'eFOPNG/projection/log10_cond_A/32': 4.143466416399717, 'eFOPNG/projection/log10_cond_A/33': 4.134054713333046, 'eFOPNG/projection/log10_cond_A/34': 4.132890244413656, 'eFOPNG/projection/log10_cond_A/35': 4.13234315974047, 'eFOPNG/projection/log10_cond_A/36': 4.1300120125504325, 'eFOPNG/projection/log10_cond_A/37': 4.135060654487089, 'eFOPNG/projection/log10_cond_A/38': 4.13059425448354, 'eFOPNG/projection/log10_cond_A/39': 4.129672272791836, 'eFOPNG/projection/log10_cond_A/4': 2.4470778395635597, 'eFOPNG/projection/log10_cond_A/40': 4.134775004131484, 'eFOPNG/projection/log10_cond_A/41': 4.128825321194498, 'eFOPNG/projection/log10_cond_A/42': 4.132252495768505, 'eFOPNG/projection/log10_cond_A/43': 4.130364932027205, 'eFOPNG/projection/log10_cond_A/44': 4.132845268593666, 'eFOPNG/projection/log10_cond_A/45': 4.126370647927197, 'eFOPNG/projection/log10_cond_A/46': 4.559742976677643, 'eFOPNG/projection/log10_cond_A/47': 4.698160784574061, 'eFOPNG/projection/log10_cond_A/48': 4.712575294180583, 'eFOPNG/projection/log10_cond_A/49': 4.724161775492733, 'eFOPNG/projection/log10_cond_A/5': 2.4545663052525084, 'eFOPNG/projection/log10_cond_A/50': 4.724167506523447, 'eFOPNG/projection/log10_cond_A/51': 4.737152031338852, 'eFOPNG/projection/log10_cond_A/52': 4.745864514959239, 'eFOPNG/projection/log10_cond_A/53': 4.739873246457593, 'eFOPNG/projection/log10_cond_A/54': 4.749163306052815, 'eFOPNG/projection/log10_cond_A/55': 4.745367149919998, 'eFOPNG/projection/log10_cond_A/56': 4.743264504553274, 'eFOPNG/projection/log10_cond_A/57': 4.74368519376801, 'eFOPNG/projection/log10_cond_A/58': 4.750183504685844, 'eFOPNG/projection/log10_cond_A/59': 4.748822283084287, 'eFOPNG/projection/log10_cond_A/6': 2.3403193374240563, 'eFOPNG/projection/log10_cond_A/60': 4.7481135580217195, 'eFOPNG/projection/log10_cond_A/7': 2.24761118692587, 'eFOPNG/projection/log10_cond_A/8': 2.266728616735368, 'eFOPNG/projection/log10_cond_A/9': 2.2586954588397807, 'eFOPNG/train/correction_norm': 2.5532760597564077, 'eFOPNG/train/loss': 0.41111611965540296, 'eFOPNG/train/raw_rho': 0.8154553368284896, 'eFOPNG/train/reg_penalty': 0.2130368240781733, 'eFOPNG/train/weighted_rho': 0.5190124120261218, 'efopng/eval/average_accuracy': 0.6408767363616026, 'efopng/results': {'acc': {'1': [0.998581560283688, 0, 0, 0, 0], '2': [0.9981087470449173, 0.9138099902056808, 0, 0, 0], '3': [0.997163120567376, 0.8129285014691479, 0.9503735325506936, 0, 0], '4': [0.9981087470449173, 0.9084231145935358, 0.08431163287086446, 0.9818731117824774, 0], '5': [0.6293144208037825, 0.7698334965719883, 0.5032017075773746, 0.3554884189325277, 0.94654563792234]}, 'bwt': -0.39670003773421664}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 412, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 4, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
2,"{'ADAM Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/ADAM Overlapping Accuracies_63_1ffead00ab8596b37f1a.png', 'sha256': '1ffead00ab8596b37f1a9dbeb00204ef3ef9748e9622c1e6a23ef7a417bdab6d', 'size': 63520, 'width': 1000}, 'ADAM/eval/acc_task_1': 1, 'ADAM/eval/acc_task_2': 0.8839373163565132, 'ADAM/eval/acc_task_3': 0.9172892209178228, 'ADAM/eval/acc_task_4': 0.42648539778449146, 'ADAM/eval/acc_task_5': 0.9344427634896622, 'ADAM/eval/bwt': -0.1770265499495468, 'ADAM/global_epoch': 57, 'ADAM/train/loss': 0.4326159457902651, '_runtime': 134, '_step': 68, '_timestamp': 1779918349.2999256, '_wandb': {'runtime': 134}, 'adam/eval/average_accuracy': 0.8324309397096978, 'adam/results': {'acc': {'1': [1, 0, 0, 0, 0], '2': [1, 0.976003917727718, 0, 0, 0], '3': [0.998581560283688, 0.9755142017629774, 0.9749199573105656, 0, 0], '4': [0.9952718676122932, 0.9676787463271302, 0.9647812166488794, 0.9848942598187312, 0], '5': [1, 0.8839373163565132, 0.9172892209178228, 0.42648539778449146, 0.9344427634896622]}, 'bwt': 0}, 'best/average_accuracy': 0.8324309397096978, 'best/bwt': 0, 'best/results': {'acc': {'1': [1, 0, 0, 0, 0], '2': [1, 0.976003917727718, 0, 0, 0], '3': [0.998581560283688, 0.9755142017629774, 0.9749199573105656, 0, 0], '4': [0.9952718676122932, 0.9676787463271302, 0.9647812166488794, 0.9848942598187312, 0], '5': [1, 0.8839373163565132, 0.9172892209178228, 0.42648539778449146, 0.9344427634896622]}, 'bwt': 0}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 412, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 4, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
3,"{'ADAM Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/ADAM Overlapping Accuracies_62_ee8c53a38f7eb14808c1.png', 'sha256': 'ee8c53a38f7eb14808c16602afaeefc4bb1c7dd1a57023397f20d14d8aca2c60', 'size': 58234, 'width': 1000}, 'ADAM/eval/acc_task_1': 0.997163120567376, 'ADAM/eval/acc_task_2': 0.9823702252693438, 'ADAM/eval/acc_task_3': 0.9514407684098186, 'ADAM/eval/acc_task_4': 0.9773413897280968, 'ADAM/eval/acc_task_5': 0.9435199193141705, 'ADAM/eval/bwt': -0.009201966062730438, 'ADAM/global_epoch': 56, 'ADAM/train/loss': 0.3334957941963866, '_runtime': 135, '_step': 67, '_timestamp': 1779918494.059668, '_wandb': {'runtime': 135}, 'adam/eval/average_accuracy': 0.9703670846577612, 'adam/results': {'acc': {'1': [0.9981087470449173, 0, 0, 0, 0], '2': [0.998581560283688, 0.9813907933398628, 0, 0, 0], '3': [0.9990543735224586, 0.9823702252693438, 0.9797225186766276, 0, 0], '4': [0.9995271867612292, 0.9769833496571988, 0.9690501600853788, 0.9859013091641492, 0], '5': [0.997163120567376, 0.9823702252693438, 0.9514407684098186, 0.9773413897280968, 0.9435199193141705]}, 'bwt': 0}, 'best/average_accuracy': 0.9703670846577612, 'best/bwt': 0, 'best/results': {'acc': {'1': [0.9981087470449173, 0, 0, 0, 0], '2': [0.998581560283688, 0.9813907933398628, 0, 0, 0], '3': [0.9990543735224586, 0.9823702252693438, 0.9797225186766276, 0, 0], '4': [0.9995271867612292, 0.9769833496571988, 0.9690501600853788, 0.9859013091641492, 0], '5': [0.997163120567376, 0.9823702252693438, 0.9514407684098186, 0.9773413897280968, 0.9435199193141705]}, 'bwt': 0}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 412, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 4, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
