,summary,config
0,"{'_runtime': 139, '_step': 55, '_timestamp': 1779414580.6806712, '_wandb': {'runtime': 139}, 'best/average_accuracy': 0.8383639568651364, 'best/bwt': -0.1853727333624944, 'best/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9990543735224586, 0.9779627815866796, 0, 0, 0], '3': [0.9995271867612292, 0.971596474045054, 0.985058697972252, 0, 0], '4': [0.9995271867612292, 0.9476003917727718, 0.9647812166488794, 0.9929506545820744, 0], '5': [0.998581560283688, 0.9466209598432908, 0.9807897545357523, 0.2880161127895267, 0.977811396873424]}, 'bwt': -0.1853727333624944}, 'eFOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG  Overlapping Accuracies (Colored)_50_ff8181557d4a5ce40313.png', 'sha256': 'ff8181557d4a5ce40313ba0b002cf9389cbd2f280cfd084ce75ca9f25a73c18e', 'size': 61000, 'width': 1000}, 'eFOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG FRECHET CORR MATRIX_49_defdc1cd56fa8595665c.png', 'sha256': 'defdc1cd56fa8595665c2aeed56d7eb972ad506cfe049b766c82151bb47dc30b', 'size': 32063, 'width': 800}, 'eFOPNG/eval/acc_task_1': 0.998581560283688, 'eFOPNG/eval/acc_task_2': 0.9466209598432908, 'eFOPNG/eval/acc_task_3': 0.9807897545357523, 'eFOPNG/eval/acc_task_4': 0.2880161127895267, 'eFOPNG/eval/acc_task_5': 0.977811396873424, 'eFOPNG/eval/bwt': -0.1853727333624944, 'eFOPNG/fisher/max': 63.74208068847656, 'eFOPNG/fisher/mean': 0.05703569948673248, 'eFOPNG/fisher/min': 3.5828324763389686e-15, 'eFOPNG/fisher_overlap/cosine': 0.16594171524047852, 'eFOPNG/fisher_overlap/pearson': 0.16100139915943146, 'eFOPNG/fisher_overlap/topk_iou': 0.46722584653619137, 'eFOPNG/global_epoch': 38, 'eFOPNG/memory/G_cols': 400, 'eFOPNG/train/correction_norm': 0.26918772533535956, 'eFOPNG/train/loss': 0.09933834015517622, 'eFOPNG/train/raw_rho': 0.9751681034629408, 'eFOPNG/train/reg_penalty': 0.033404068366901296, 'eFOPNG/train/weighted_rho': 0.9654774027901728, 'efopng/eval/average_accuracy': 0.8383639568651364, 'efopng/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9990543735224586, 0.9779627815866796, 0, 0, 0], '3': [0.9995271867612292, 0.971596474045054, 0.985058697972252, 0, 0], '4': [0.9995271867612292, 0.9476003917727718, 0.9647812166488794, 0.9929506545820744, 0], '5': [0.998581560283688, 0.9466209598432908, 0.9807897545357523, 0.2880161127895267, 0.977811396873424]}, 'bwt': -0.1853727333624944}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 413, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
1,"{'_runtime': 137, '_step': 54, '_timestamp': 1779414721.179446, '_wandb': {'runtime': 137}, 'best/average_accuracy': 0.7746323478403345, 'best/bwt': -0.26623174239301384, 'best/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9995271867612292, 0.9789422135161606, 0, 0, 0], '3': [0.9995271867612292, 0.9627815866797258, 0.9898612593383138, 0, 0], '4': [0.9995271867612292, 0.9730656219392751, 0.9060832443970116, 0.9899295065458208, 0.0015128593040847202], '5': [0.9995271867612292, 0.975024485798237, 0.8633938100320171, 0.0553877139979859, 0.9798285426122038]}, 'bwt': -0.26623174239301384}, 'eFOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG  Overlapping Accuracies (Colored)_49_746976f15287f85709c2.png', 'sha256': '746976f15287f85709c2cd60c72501018a9bced9c3a687e71668c8de83e0ad6b', 'size': 64393, 'width': 1000}, 'eFOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG FRECHET CORR MATRIX_48_b9f9ab61d52d7f2d5b04.png', 'sha256': 'b9f9ab61d52d7f2d5b04557a55f4043b49f0c70f1809b28328e221f076475e7b', 'size': 32687, 'width': 800}, 'eFOPNG/eval/acc_task_1': 0.9995271867612292, 'eFOPNG/eval/acc_task_2': 0.975024485798237, 'eFOPNG/eval/acc_task_3': 0.8633938100320171, 'eFOPNG/eval/acc_task_4': 0.0553877139979859, 'eFOPNG/eval/acc_task_5': 0.9798285426122038, 'eFOPNG/eval/bwt': -0.26623174239301384, 'eFOPNG/fisher/max': 51.84285736083984, 'eFOPNG/fisher/mean': 0.05570779740810394, 'eFOPNG/fisher/min': 4.425197107383596e-16, 'eFOPNG/fisher_overlap/cosine': 0.19371651113033295, 'eFOPNG/fisher_overlap/pearson': 0.18889662623405457, 'eFOPNG/fisher_overlap/topk_iou': 0.44213740458015266, 'eFOPNG/global_epoch': 37, 'eFOPNG/memory/G_cols': 400, 'eFOPNG/train/correction_norm': 0.4173856712273649, 'eFOPNG/train/loss': 0.0990828215471796, 'eFOPNG/train/raw_rho': 0.9733321950242326, 'eFOPNG/train/reg_penalty': 0.03038990668751098, 'eFOPNG/train/weighted_rho': 0.958128733248324, 'efopng/eval/average_accuracy': 0.7746323478403345, 'efopng/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9995271867612292, 0.9789422135161606, 0, 0, 0], '3': [0.9995271867612292, 0.9627815866797258, 0.9898612593383138, 0, 0], '4': [0.9995271867612292, 0.9730656219392751, 0.9060832443970116, 0.9899295065458208, 0.0015128593040847202], '5': [0.9995271867612292, 0.975024485798237, 0.8633938100320171, 0.0553877139979859, 0.9798285426122038]}, 'bwt': -0.26623174239301384}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'seed': 1234, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 413, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
2,"{'ADAM Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/ADAM Overlapping Accuracies_34_a8dfee4e00fcead7787b.png', 'sha256': 'a8dfee4e00fcead7787b72faede2546e4325f6814265e3a013338874dedc2756', 'size': 60776, 'width': 1000}, 'ADAM/eval/acc_task_1': 0.998581560283688, 'ADAM/eval/acc_task_2': 0.9755142017629774, 'ADAM/eval/acc_task_3': 0.9797225186766276, 'ADAM/eval/acc_task_4': 0.6963746223564955, 'ADAM/eval/acc_task_5': 0.972768532526475, 'ADAM/eval/bwt': -0.07563541680471383, 'ADAM/global_epoch': 28, 'ADAM/train/loss': 0.09569350716632766, '_runtime': 63, '_step': 39, '_timestamp': 1779414799.313216, '_wandb': {'runtime': 63}, 'adam/eval/average_accuracy': 0.9245922871212526, 'adam/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9990543735224586, 0.9813907933398628, 0, 0, 0], '3': [0.9995271867612292, 0.9774730656219393, 0.9823906083244396, 0.0005035246727089627, 0], '4': [0.998581560283688, 0.9735553379040156, 0.985058697972252, 0.9894259818731118, 0], '5': [0.998581560283688, 0.9755142017629774, 0.9797225186766276, 0.6963746223564955, 0.972768532526475]}, 'bwt': -0.07563541680471383}, 'best/average_accuracy': 0.9245922871212526, 'best/bwt': -0.07563541680471383, 'best/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9990543735224586, 0.9813907933398628, 0, 0, 0], '3': [0.9995271867612292, 0.9774730656219393, 0.9823906083244396, 0.0005035246727089627, 0], '4': [0.998581560283688, 0.9735553379040156, 0.985058697972252, 0.9894259818731118, 0], '5': [0.998581560283688, 0.9755142017629774, 0.9797225186766276, 0.6963746223564955, 0.972768532526475]}, 'bwt': -0.07563541680471383}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 413, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
3,"{'_runtime': 237, '_step': 78, '_timestamp': 1779428991.4000168, '_wandb': {'runtime': 237}, 'best/average_accuracy': 0.9667671178105176, 'best/bwt': -0.019350581669612205, 'best/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9990543735224586, 0.9662095984329088, 0, 0, 0], '3': [0.998581560283688, 0.8672869735553379, 0.9807897545357523, 0, 0], '4': [0.9990543735224586, 0.8917727717923605, 0.975453575240128, 0.9924471299093656, 0], '5': [0.9995271867612292, 0.8991185112634672, 0.9765208110992528, 0.986404833836858, 0.97226424609178]}, 'bwt': -0.019350581669612205}, 'eFOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG  Overlapping Accuracies (Colored)_73_3e383b4fbe28ae667d02.png', 'sha256': '3e383b4fbe28ae667d02e835520b932ebe93742e3e37d8364f04ed7fa2fb03bc', 'size': 61606, 'width': 1000}, 'eFOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG FRECHET CORR MATRIX_72_1054126e260299475544.png', 'sha256': '1054126e26029947554415b3f8cbf42c0db61e69e559761ac5ecc79737db7e78', 'size': 31857, 'width': 800}, 'eFOPNG/eval/acc_task_1': 0.9995271867612292, 'eFOPNG/eval/acc_task_2': 0.8991185112634672, 'eFOPNG/eval/acc_task_3': 0.9765208110992528, 'eFOPNG/eval/acc_task_4': 0.986404833836858, 'eFOPNG/eval/acc_task_5': 0.97226424609178, 'eFOPNG/eval/bwt': -0.019350581669612205, 'eFOPNG/fisher/max': 124.61384582519533, 'eFOPNG/fisher/mean': 0.13560554385185242, 'eFOPNG/fisher/min': 5.826292304887063e-16, 'eFOPNG/fisher_overlap/cosine': 0.14427362382411957, 'eFOPNG/fisher_overlap/pearson': 0.14019569754600525, 'eFOPNG/fisher_overlap/topk_iou': 0.4965145754119138, 'eFOPNG/global_epoch': 61, 'eFOPNG/memory/G_cols': 400, 'eFOPNG/train/correction_norm': 1.1950508921130285, 'eFOPNG/train/loss': 0.20369414324696, 'eFOPNG/train/raw_rho': 0.9703736659642812, 'eFOPNG/train/reg_penalty': 0.10343193967600128, 'eFOPNG/train/weighted_rho': 0.9409103242126672, 'efopng/eval/average_accuracy': 0.9667671178105176, 'efopng/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9990543735224586, 0.9662095984329088, 0, 0, 0], '3': [0.998581560283688, 0.8672869735553379, 0.9807897545357523, 0, 0], '4': [0.9990543735224586, 0.8917727717923605, 0.975453575240128, 0.9924471299093656, 0], '5': [0.9995271867612292, 0.8991185112634672, 0.9765208110992528, 0.986404833836858, 0.97226424609178]}, 'bwt': -0.019350581669612205}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 413, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
4,"{'_runtime': 234, '_step': 78, '_timestamp': 1779429235.5867028, '_wandb': {'runtime': 234}, 'best/average_accuracy': 0.9099219835216475, 'best/bwt': -0.07792877366954049, 'best/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9995271867612292, 0.9333986287952988, 0, 0, 0], '3': [0.9995271867612292, 0.932419196865818, 0.9813233724653148, 0, 0], '4': [0.9995271867612292, 0.9113614103819784, 0.9060832443970116, 0.9828801611278952, 0], '5': [0.9995271867612292, 0.8511263467189031, 0.9663820704375669, 0.7683786505538771, 0.9641956631366616]}, 'bwt': -0.07792877366954049}, 'eFOPNG  Overlapping Accuracies (Colored)': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG  Overlapping Accuracies (Colored)_73_8b3fea6434603bbd5ffd.png', 'sha256': '8b3fea6434603bbd5ffdcb25d86c42ebeb55dd41ea959496fc14e327f21b906f', 'size': 64144, 'width': 1000}, 'eFOPNG FRECHET CORR MATRIX': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/eFOPNG FRECHET CORR MATRIX_72_22c328e8b3cc52b60fde.png', 'sha256': '22c328e8b3cc52b60fdea3f449366beada7a60e48429ce006222162e481a7078', 'size': 32421, 'width': 800}, 'eFOPNG/eval/acc_task_1': 0.9995271867612292, 'eFOPNG/eval/acc_task_2': 0.8511263467189031, 'eFOPNG/eval/acc_task_3': 0.9663820704375669, 'eFOPNG/eval/acc_task_4': 0.7683786505538771, 'eFOPNG/eval/acc_task_5': 0.9641956631366616, 'eFOPNG/eval/bwt': -0.07792877366954049, 'eFOPNG/fisher/max': 41.787330627441406, 'eFOPNG/fisher/mean': 0.11737553030252457, 'eFOPNG/fisher/min': 2.346967410212525e-18, 'eFOPNG/fisher_overlap/cosine': 0.25329825282096863, 'eFOPNG/fisher_overlap/pearson': 0.24688130617141724, 'eFOPNG/fisher_overlap/topk_iou': 0.4763988746483276, 'eFOPNG/global_epoch': 61, 'eFOPNG/memory/G_cols': 400, 'eFOPNG/train/correction_norm': 1.362579773245631, 'eFOPNG/train/loss': 0.18160315220420423, 'eFOPNG/train/raw_rho': 0.9184280318182868, 'eFOPNG/train/reg_penalty': 0.07670925549558691, 'eFOPNG/train/weighted_rho': 0.8383609336775703, 'efopng/eval/average_accuracy': 0.9099219835216475, 'efopng/results': {'acc': {'1': [0.9995271867612292, 0, 0, 0, 0], '2': [0.9995271867612292, 0.9333986287952988, 0, 0, 0], '3': [0.9995271867612292, 0.932419196865818, 0.9813233724653148, 0, 0], '4': [0.9995271867612292, 0.9113614103819784, 0.9060832443970116, 0.9828801611278952, 0], '5': [0.9995271867612292, 0.8511263467189031, 0.9663820704375669, 0.7683786505538771, 0.9641956631366616]}, 'bwt': -0.07792877366954049}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['efopng'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 413, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
5,"{'_runtime': 1, '_wandb': {'runtime': 1}}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 42, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 413, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
6,"{'_runtime': 1, '_wandb': {'runtime': 1}}","{'lr': 0.001, 'lam': 0.001, 'beta': 0.1, 'seed': 1234, 'task': 'split_mnist_sh', 'alpha': 0.3, 'model': 'HyperNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': True, 'num_tasks': 5, 'regulizer': True, 'batch_size': 64, 'check_vram': False, 'chunk_size': 64, 'max_epochs': 15, 'device_mode': 'gpu', 'num_of_tasks': None, 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 413, 'first_task_lr': 0.001, 'optimizer_cls': None, 'first_task_opt': 'adamw', 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 32, 'chunk_embedding_dim': 32}"
