,summary,config
0,"{'ADAM Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/ADAM Overlapping Accuracies_26_b046972565cea1da26aa.png', 'sha256': 'b046972565cea1da26aa67baba12f478e1f79c62ac7118ee0a19585965a0b884', 'size': 78777, 'width': 1000}, 'ADAM/eval/acc_task_1': 0.7465, 'ADAM/eval/acc_task_2': 0.624, 'ADAM/eval/acc_task_3': 0.6585, 'ADAM/eval/acc_task_4': 0.887, 'ADAM/eval/acc_task_5': 0.933, 'ADAM/eval/bwt': -0.18299999999999997, 'ADAM/global_epoch': 20, 'ADAM/train/loss': 0.08413401084626093, '_runtime': 94, '_step': 31, '_timestamp': 1779040688.0516686, '_wandb': {'runtime': 94}, 'adam/eval/average_accuracy': 0.7698, 'adam/results': {'acc': {'1': [0.949, 0.387, 0.5, 0.6385, 0.534], '2': [0.8715, 0.842, 0.416, 0.555, 0.488], '3': [0.7645, 0.741, 0.8925, 0.587, 0.5645], '4': [0.7705, 0.6505, 0.8135, 0.9645, 0.5425], '5': [0.7465, 0.624, 0.6585, 0.887, 0.933]}, 'bwt': -0.18299999999999997}, 'best/average_accuracy': 0.7698, 'best/bwt': -0.18299999999999997, 'best/results': {'acc': {'1': [0.949, 0.387, 0.5, 0.6385, 0.534], '2': [0.8715, 0.842, 0.416, 0.555, 0.488], '3': [0.7645, 0.741, 0.8925, 0.587, 0.5645], '4': [0.7705, 0.6505, 0.8135, 0.9645, 0.5425], '5': [0.7465, 0.624, 0.6585, 0.887, 0.933]}, 'bwt': -0.18299999999999997}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 320, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
1,"{'_runtime': 1, '_wandb': {'runtime': 1}}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 320, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
2,"{'_runtime': 1, '_wandb': {'runtime': 1}}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 320, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
3,"{'ADAM/global_epoch': 2, 'ADAM/train/loss': 0.1363505064774945, '_runtime': 114, '_step': 2, '_timestamp': 1779041366.3112795, '_wandb': {'runtime': 114}, 'task': 1}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 320, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
4,"{'ADAM Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/ADAM Overlapping Accuracies_28_b858fa38c4f37f1aa30a.png', 'sha256': 'b858fa38c4f37f1aa30a949ae009390d6bf0dca55aca4220ecaf93a39def0da1', 'size': 87620, 'width': 1000}, 'ADAM/eval/acc_task_1': 0.8175, 'ADAM/eval/acc_task_2': 0.62, 'ADAM/eval/acc_task_3': 0.58, 'ADAM/eval/acc_task_4': 0.64, 'ADAM/eval/acc_task_5': 0.9365, 'ADAM/eval/bwt': -0.25825, 'ADAM/global_epoch': 22, 'ADAM/train/loss': 0.10144047808551113, '_runtime': 566, '_step': 33, '_timestamp': 1779042015.663376, '_wandb': {'runtime': 566}, 'adam/eval/average_accuracy': 0.7188000000000001, 'adam/results': {'acc': {'1': [0.963, 0.5815, 0.5, 0.3595, 0.7535], '2': [0.75, 0.858, 0.5005, 0.4975, 0.6385], '3': [0.715, 0.691, 0.911, 0.524, 0.516], '4': [0.462, 0.4675, 0.6055, 0.9585, 0.4895], '5': [0.8175, 0.62, 0.58, 0.64, 0.9365]}, 'bwt': -0.25825}, 'best/average_accuracy': 0.7188000000000001, 'best/bwt': -0.25825, 'best/results': {'acc': {'1': [0.963, 0.5815, 0.5, 0.3595, 0.7535], '2': [0.75, 0.858, 0.5005, 0.4975, 0.6385], '3': [0.715, 0.691, 0.911, 0.524, 0.516], '4': [0.462, 0.4675, 0.6055, 0.9585, 0.4895], '5': [0.8175, 0.62, 0.58, 0.64, 0.9365]}, 'bwt': -0.25825}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
5,"{'_runtime': 5, '_wandb': {'runtime': 5}}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['fopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
6,"{'FOPNG/global_epoch': 3, 'FOPNG/train/loss': 0.09714064665776824, '_runtime': 118, '_step': 3, '_timestamp': 1779042331.039678, '_wandb': {'runtime': 118}, 'task': 1}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.5, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['fopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
7,"{'FOPNG/global_epoch': 1, 'FOPNG/train/loss': 0.17528439255128614, '_runtime': 66, '_step': 1, '_timestamp': 1779042529.4673572, '_wandb': {'runtime': 66}, 'task': 1}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.5, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['fopng'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
8,"{'_runtime': 16, '_wandb': {'runtime': 16}}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
9,"{'ADAM Overlapping Accuracies': {'_type': 'image-file', 'format': 'png', 'height': 600, 'path': 'media/images/ADAM Overlapping Accuracies_26_122554e7fe36846d8880.png', 'sha256': '122554e7fe36846d8880d5659c1840fad764f394b834824b59466365e7d4b35e', 'size': 86240, 'width': 1000}, 'ADAM/eval/acc_task_1': 0.828, 'ADAM/eval/acc_task_2': 0.5445, 'ADAM/eval/acc_task_3': 0.6715, 'ADAM/eval/acc_task_4': 0.834, 'ADAM/eval/acc_task_5': 0.9395, 'ADAM/eval/bwt': -0.19100000000000003, 'ADAM/global_epoch': 20, 'ADAM/train/loss': 0.09184026152305888, '_runtime': 108, '_step': 31, '_timestamp': 1779042743.3911743, '_wandb': {'runtime': 108}, 'adam/eval/average_accuracy': 0.7635, 'adam/results': {'acc': {'1': [0.9445, 0.3985, 0.4965, 0.6375, 0.502], '2': [0.7745, 0.8545, 0.35, 0.559, 0.533], '3': [0.667, 0.68, 0.8855, 0.467, 0.5055], '4': [0.5995, 0.5855, 0.8185, 0.9575, 0.4965], '5': [0.828, 0.5445, 0.6715, 0.834, 0.9395]}, 'bwt': -0.19100000000000003}, 'best/average_accuracy': 0.7635, 'best/bwt': -0.19100000000000003, 'best/results': {'acc': {'1': [0.9445, 0.3985, 0.4965, 0.6375, 0.502], '2': [0.7745, 0.8545, 0.35, 0.559, 0.533], '3': [0.667, 0.68, 0.8855, 0.467, 0.5055], '4': [0.5995, 0.5855, 0.8185, 0.9575, 0.4965], '5': [0.828, 0.5445, 0.6715, 0.834, 0.9395]}, 'bwt': -0.19100000000000003}, 'task': 5, 'task_completed': 5}","{'lr': 0.001, 'lam': 0.001, 'seed': 42, 'task': 'split_cifar10', 'alpha': 0.3, 'model': 'TargetNetwork', 'saved': False, 'epochs': 10, 'warmup': False, 'damping': 0.01, 'methods': ['adam'], 'normalize': False, 'num_tasks': 5, 'regulizer': False, 'batch_size': 10, 'check_vram': False, 'chunk_size': 1000, 'max_epochs': 5, 'device_mode': 'gpu', 'task_classes': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'experiment_id': 2137, 'fisher_samples': 1024, 'grads_per_task': 80, 'max_directions': 400, 'fisher_clipping': False, 'hyper_hidden_dim': 16, 'task_embedding_dim': 4, 'chunk_embedding_dim': 10}"
