<torch.utils.data.dataloader.DataLoader object at 0x7f25d98c7af0>
Epoch 159/500 - Loss: 0.2200
Epoch 160/500 - Loss: 0.2188
Epoch 161/500 - Loss: 0.2194
Epoch 162/500 - Loss: 0.2175
Epoch 163/500 - Loss: 0.2188
Epoch 164/500 - Loss: 0.2166
Epoch 165/500 - Loss: 0.2174
Epoch 166/500 - Loss: 0.2152
Epoch 167/500 - Loss: 0.2170
Epoch 168/500 - Loss: 0.2152
Epoch 169/500 - Loss: 0.2158
Epoch 170/500 - Loss: 0.2171
Epoch 171/500 - Loss: 0.2164
Epoch 172/500 - Loss: 0.2181
Epoch 173/500 - Loss: 0.2156
Epoch 174/500 - Loss: 0.2168
Epoch 175/500 - Loss: 0.2167
Epoch 176/500 - Loss: 0.2143
Epoch 177/500 - Loss: 0.2177
Epoch 178/500 - Loss: 0.2157
Epoch 179/500 - Loss: 0.2141
Epoch 180/500 - Loss: 0.2134
Epoch 181/500 - Loss: 0.2145
Epoch 182/500 - Loss: 0.2162
Epoch 183/500 - Loss: 0.2143
Epoch 184/500 - Loss: 0.2151
Epoch 185/500 - Loss: 0.2150
Epoch 186/500 - Loss: 0.2149
Epoch 187/500 - Loss: 0.2152
Epoch 188/500 - Loss: 0.2147
Epoch 189/500 - Loss: 0.2125
Epoch 190/500 - Loss: 0.2147
Epoch 191/500 - Loss: 0.2142
Epoch 192/500 - Loss: 0.2128
Epoch 193/500 - Loss: 0.2158
Epoch 194/500 - Loss: 0.2123
Epoch 195/500 - Loss: 0.2150
Epoch 196/500 - Loss: 0.2131
Epoch 197/500 - Loss: 0.2130
Epoch 198/500 - Loss: 0.2147
Epoch 199/500 - Loss: 0.2136
Epoch 200/500 - Loss: 0.2142
Epoch 201/500 - Loss: 0.2136
Epoch 202/500 - Loss: 0.2140
Epoch 203/500 - Loss: 0.2120
Epoch 204/500 - Loss: 0.2105
Epoch 205/500 - Loss: 0.2122
Epoch 206/500 - Loss: 0.2110
Epoch 207/500 - Loss: 0.2131
Epoch 208/500 - Loss: 0.2129
Epoch 209/500 - Loss: 0.2142
Epoch 210/500 - Loss: 0.2102
Epoch 211/500 - Loss: 0.2131
Epoch 212/500 - Loss: 0.2147
Epoch 213/500 - Loss: 0.2116
Epoch 214/500 - Loss: 0.2127
Epoch 215/500 - Loss: 0.2104
Epoch 216/500 - Loss: 0.2101
Epoch 217/500 - Loss: 0.2111
Epoch 218/500 - Loss: 0.2129
Epoch 219/500 - Loss: 0.2115
Epoch 220/500 - Loss: 0.2115
Epoch 221/500 - Loss: 0.2119
Epoch 222/500 - Loss: 0.2102
Epoch 223/500 - Loss: 0.2096
Epoch 224/500 - Loss: 0.2114
Epoch 225/500 - Loss: 0.2089
Epoch 226/500 - Loss: 0.2140
Epoch 227/500 - Loss: 0.2122
Epoch 228/500 - Loss: 0.2114
Epoch 229/500 - Loss: 0.2115
