cuda
<torch.utils.data.dataloader.DataLoader object at 0x7f1f9d9f8a00>
Epoch 151/1000 - Loss: 0.0401
Epoch 152/1000 - Loss: 0.0402
Epoch 153/1000 - Loss: 0.0402
Epoch 154/1000 - Loss: 0.0401
Epoch 155/1000 - Loss: 0.0402
Epoch 156/1000 - Loss: 0.0401
Epoch 157/1000 - Loss: 0.0402
Epoch 158/1000 - Loss: 0.0403
Epoch 159/1000 - Loss: 0.0401
Epoch 160/1000 - Loss: 0.0402
Epoch 161/1000 - Loss: 0.0404
Epoch 162/1000 - Loss: 0.0403
Epoch 163/1000 - Loss: 0.0403
Epoch 164/1000 - Loss: 0.0403
Epoch 165/1000 - Loss: 0.0402
Epoch 166/1000 - Loss: 0.0403
Epoch 167/1000 - Loss: 0.0402
Epoch 168/1000 - Loss: 0.0403
Epoch 169/1000 - Loss: 0.0403
Epoch 170/1000 - Loss: 0.0403
Epoch 171/1000 - Loss: 0.0402
Epoch 172/1000 - Loss: 0.0403
Epoch 173/1000 - Loss: 0.0408
Epoch 174/1000 - Loss: 0.0402
Epoch 175/1000 - Loss: 0.0402
Epoch 176/1000 - Loss: 0.0402
Epoch 177/1000 - Loss: 0.0402
Epoch 178/1000 - Loss: 0.0401
Epoch 179/1000 - Loss: 0.0401
Epoch 180/1000 - Loss: 0.0402
Epoch 181/1000 - Loss: 0.0402
Epoch 182/1000 - Loss: 0.0403
Epoch 183/1000 - Loss: 0.0402
Epoch 184/1000 - Loss: 0.0403
Epoch 185/1000 - Loss: 0.0404
Epoch 186/1000 - Loss: 0.0403
Epoch 187/1000 - Loss: 0.0429
Epoch 188/1000 - Loss: 0.0406
Epoch 189/1000 - Loss: 0.0402
Epoch 190/1000 - Loss: 0.0401
Epoch 191/1000 - Loss: 0.0402
Epoch 192/1000 - Loss: 0.0402
Epoch 193/1000 - Loss: 0.0401
Epoch 194/1000 - Loss: 0.0400
Epoch 195/1000 - Loss: 0.0401
Epoch 196/1000 - Loss: 0.0401
Epoch 197/1000 - Loss: 0.0401
Epoch 198/1000 - Loss: 0.0401
Epoch 199/1000 - Loss: 0.0400
Epoch 200/1000 - Loss: 0.0402
Epoch 201/1000 - Loss: 0.0401
Epoch 202/1000 - Loss: 0.0401
Epoch 203/1000 - Loss: 0.0401
Epoch 204/1000 - Loss: 0.0401
Epoch 205/1000 - Loss: 0.0402
Epoch 206/1000 - Loss: 0.0401
Epoch 207/1000 - Loss: 0.0402
Epoch 208/1000 - Loss: 0.0401
Epoch 209/1000 - Loss: 0.0402
Epoch 210/1000 - Loss: 0.0402
Epoch 211/1000 - Loss: 0.0401
Epoch 212/1000 - Loss: 0.0401
Epoch 213/1000 - Loss: 0.0401
Epoch 214/1000 - Loss: 0.0402
Epoch 215/1000 - Loss: 0.0402
Epoch 216/1000 - Loss: 0.0400
Epoch 217/1000 - Loss: 0.0402
Epoch 218/1000 - Loss: 0.0402
Epoch 219/1000 - Loss: 0.0402
Epoch 220/1000 - Loss: 0.0401
Epoch 221/1000 - Loss: 0.0402
Epoch 222/1000 - Loss: 0.0402
Epoch 223/1000 - Loss: 0.0402
Epoch 224/1000 - Loss: 0.0403
Epoch 225/1000 - Loss: 0.0401
Epoch 226/1000 - Loss: 0.0402
Epoch 227/1000 - Loss: 0.0402
Epoch 228/1000 - Loss: 0.0401
