<torch.utils.data.dataloader.DataLoader object at 0x7feaa6da7af0>
Epoch 159/500 - Loss: 0.1876
Epoch 160/500 - Loss: 0.1911
Epoch 161/500 - Loss: 0.1923
Epoch 162/500 - Loss: 0.1937
Epoch 163/500 - Loss: 0.1868
Epoch 164/500 - Loss: 0.1930
Epoch 165/500 - Loss: 0.1918
Epoch 166/500 - Loss: 0.1870
Epoch 167/500 - Loss: 0.1890
Epoch 168/500 - Loss: 0.1888
Epoch 169/500 - Loss: 0.1893
Epoch 170/500 - Loss: 0.1885
Epoch 171/500 - Loss: 0.1902
Epoch 172/500 - Loss: 0.1889
Epoch 173/500 - Loss: 0.1872
Epoch 174/500 - Loss: 0.1889
Epoch 175/500 - Loss: 0.1897
Epoch 176/500 - Loss: 0.1880
Epoch 177/500 - Loss: 0.1885
Epoch 178/500 - Loss: 0.1908
Epoch 179/500 - Loss: 0.1869
Epoch 180/500 - Loss: 0.1899
Epoch 181/500 - Loss: 0.1891
Epoch 182/500 - Loss: 0.1901
Epoch 183/500 - Loss: 0.1873
Epoch 184/500 - Loss: 0.1883
Epoch 185/500 - Loss: 0.1899
Epoch 186/500 - Loss: 0.1904
Epoch 187/500 - Loss: 0.1911
Epoch 188/500 - Loss: 0.1895
Epoch 189/500 - Loss: 0.1875
Epoch 190/500 - Loss: 0.1876
Epoch 191/500 - Loss: 0.1895
Epoch 192/500 - Loss: 0.1877
Epoch 193/500 - Loss: 0.1870
Epoch 194/500 - Loss: 0.1876
Epoch 195/500 - Loss: 0.1872
Epoch 196/500 - Loss: 0.1882
Epoch 197/500 - Loss: 0.1900
Epoch 198/500 - Loss: 0.1870
Epoch 199/500 - Loss: 0.1893
Epoch 200/500 - Loss: 0.1918
Epoch 201/500 - Loss: 0.1920
Epoch 202/500 - Loss: 0.1897
Epoch 203/500 - Loss: 0.1907
Epoch 204/500 - Loss: 0.1882
Epoch 205/500 - Loss: 0.1862
Epoch 206/500 - Loss: 0.1876
Epoch 207/500 - Loss: 0.1874
Epoch 208/500 - Loss: 0.1882
Epoch 209/500 - Loss: 0.1868
Epoch 210/500 - Loss: 0.1907
Epoch 211/500 - Loss: 0.1897
Epoch 212/500 - Loss: 0.1865
Epoch 213/500 - Loss: 0.1892
Epoch 214/500 - Loss: 0.1880
Epoch 215/500 - Loss: 0.1888
Epoch 216/500 - Loss: 0.1881
Epoch 217/500 - Loss: 0.1879
Epoch 218/500 - Loss: 0.1887
Epoch 219/500 - Loss: 0.1872
Epoch 220/500 - Loss: 0.1874
Epoch 221/500 - Loss: 0.1863
Epoch 222/500 - Loss: 0.1878
Epoch 223/500 - Loss: 0.1888
Epoch 224/500 - Loss: 0.1885
Epoch 225/500 - Loss: 0.1886
Epoch 226/500 - Loss: 0.1880
Epoch 227/500 - Loss: 0.1892
Epoch 228/500 - Loss: 0.1887
Epoch 229/500 - Loss: 0.1865
Epoch 230/500 - Loss: 0.1878
Epoch 231/500 - Loss: 0.1876
Epoch 232/500 - Loss: 0.1876
Epoch 233/500 - Loss: 0.1887
Epoch 234/500 - Loss: 0.1903
Epoch 235/500 - Loss: 0.1966
Epoch 236/500 - Loss: 0.1901
Epoch 237/500 - Loss: 0.1870
Epoch 238/500 - Loss: 0.1856
Epoch 239/500 - Loss: 0.1858
Epoch 240/500 - Loss: 0.1862
Epoch 241/500 - Loss: 0.1866
Epoch 242/500 - Loss: 0.1860
Epoch 243/500 - Loss: 0.1879
Epoch 244/500 - Loss: 0.1873
Epoch 245/500 - Loss: 0.1859
Epoch 246/500 - Loss: 0.1913
Epoch 247/500 - Loss: 0.1887
Epoch 248/500 - Loss: 0.1875
Epoch 249/500 - Loss: 0.1867
Epoch 250/500 - Loss: 0.1874
Epoch 251/500 - Loss: 0.1882
Epoch 252/500 - Loss: 0.1890
Epoch 253/500 - Loss: 0.1862
Epoch 254/500 - Loss: 0.1868
Epoch 255/500 - Loss: 0.1863
Epoch 256/500 - Loss: 0.1861
Epoch 257/500 - Loss: 0.1869
Epoch 258/500 - Loss: 0.1867
Epoch 259/500 - Loss: 0.1892
Epoch 260/500 - Loss: 0.1929
Epoch 261/500 - Loss: 0.1883
Epoch 262/500 - Loss: 0.1877
Epoch 263/500 - Loss: 0.1938
Epoch 264/500 - Loss: 0.1919
Epoch 265/500 - Loss: 0.1874
Epoch 266/500 - Loss: 0.1873
Epoch 267/500 - Loss: 0.1854
Epoch 268/500 - Loss: 0.1877
Epoch 269/500 - Loss: 0.1888
Epoch 270/500 - Loss: 0.1888
Epoch 271/500 - Loss: 0.1869
Epoch 272/500 - Loss: 0.1869
Epoch 273/500 - Loss: 0.1860
Epoch 274/500 - Loss: 0.1870
Epoch 275/500 - Loss: 0.1877
Epoch 276/500 - Loss: 0.1863
Epoch 277/500 - Loss: 0.1869
Epoch 278/500 - Loss: 0.1874
Epoch 279/500 - Loss: 0.1871
Epoch 280/500 - Loss: 0.1880
Epoch 281/500 - Loss: 0.1867
Epoch 282/500 - Loss: 0.1870
Epoch 283/500 - Loss: 0.1870
Epoch 284/500 - Loss: 0.1881
Epoch 285/500 - Loss: 0.1890
Epoch 286/500 - Loss: 0.1867
Epoch 287/500 - Loss: 0.1856
Epoch 288/500 - Loss: 0.1867
Epoch 289/500 - Loss: 0.1897
Epoch 290/500 - Loss: 0.1906
Epoch 291/500 - Loss: 0.1887
Epoch 292/500 - Loss: 0.1875
Epoch 293/500 - Loss: 0.1878
Epoch 294/500 - Loss: 0.1870
Epoch 295/500 - Loss: 0.1878
Epoch 296/500 - Loss: 0.1863
Epoch 297/500 - Loss: 0.1863
Epoch 298/500 - Loss: 0.1860
Epoch 299/500 - Loss: 0.1893
Epoch 300/500 - Loss: 0.1880
Epoch 301/500 - Loss: 0.1873
Epoch 302/500 - Loss: 0.1888
Epoch 303/500 - Loss: 0.1872
Epoch 304/500 - Loss: 0.1869
Epoch 305/500 - Loss: 0.1853
Epoch 306/500 - Loss: 0.1867
Epoch 307/500 - Loss: 0.1887
Epoch 308/500 - Loss: 0.1911
Epoch 309/500 - Loss: 0.1938
Epoch 310/500 - Loss: 0.1873
Epoch 311/500 - Loss: 0.1855
Epoch 312/500 - Loss: 0.1869
Epoch 313/500 - Loss: 0.1877
Epoch 314/500 - Loss: 0.1879
Epoch 315/500 - Loss: 0.1872
Epoch 316/500 - Loss: 0.1869
Epoch 317/500 - Loss: 0.1863
Epoch 318/500 - Loss: 0.1892
Epoch 319/500 - Loss: 0.1867
Epoch 320/500 - Loss: 0.1872
Epoch 321/500 - Loss: 0.1865
Epoch 322/500 - Loss: 0.1864
Epoch 323/500 - Loss: 0.1884
Epoch 324/500 - Loss: 0.1876
Epoch 325/500 - Loss: 0.1865
Epoch 326/500 - Loss: 0.1877
Epoch 327/500 - Loss: 0.1872
Epoch 328/500 - Loss: 0.1921
Epoch 329/500 - Loss: 0.1897
Epoch 330/500 - Loss: 0.1885
Epoch 331/500 - Loss: 0.1863
Epoch 332/500 - Loss: 0.1889
Epoch 333/500 - Loss: 0.1876
Epoch 334/500 - Loss: 0.1866
Epoch 335/500 - Loss: 0.1880
Epoch 336/500 - Loss: 0.1882
Epoch 337/500 - Loss: 0.1870
Epoch 338/500 - Loss: 0.1873
Epoch 339/500 - Loss: 0.1900
Epoch 340/500 - Loss: 0.1874
Epoch 341/500 - Loss: 0.1873
Epoch 342/500 - Loss: 0.1862
Epoch 343/500 - Loss: 0.1905
Epoch 344/500 - Loss: 0.1891
Epoch 345/500 - Loss: 0.1856
Epoch 346/500 - Loss: 0.1846
Epoch 347/500 - Loss: 0.1866
Epoch 348/500 - Loss: 0.1874
Epoch 349/500 - Loss: 0.1887
Epoch 350/500 - Loss: 0.1899
Epoch 351/500 - Loss: 0.1884
Epoch 352/500 - Loss: 0.1866
Epoch 353/500 - Loss: 0.1881
Epoch 354/500 - Loss: 0.1873
Epoch 355/500 - Loss: 0.1890
Epoch 356/500 - Loss: 0.1866
Epoch 357/500 - Loss: 0.1867
Epoch 358/500 - Loss: 0.1882
Epoch 359/500 - Loss: 0.1869
Epoch 360/500 - Loss: 0.1888
Epoch 361/500 - Loss: 0.1868
Epoch 362/500 - Loss: 0.1869
Epoch 363/500 - Loss: 0.1854
Epoch 364/500 - Loss: 0.1858
Epoch 365/500 - Loss: 0.1858
Epoch 366/500 - Loss: 0.1868
Epoch 367/500 - Loss: 0.1883
Epoch 368/500 - Loss: 0.1869
Epoch 369/500 - Loss: 0.1859
Epoch 370/500 - Loss: 0.1874
Epoch 371/500 - Loss: 0.1869
Epoch 372/500 - Loss: 0.1878
Epoch 373/500 - Loss: 0.1875
Epoch 374/500 - Loss: 0.1876
Epoch 375/500 - Loss: 0.1878
Epoch 376/500 - Loss: 0.1862
Epoch 377/500 - Loss: 0.1874
Epoch 378/500 - Loss: 0.1859
Epoch 379/500 - Loss: 0.1863
Epoch 380/500 - Loss: 0.1872
Epoch 381/500 - Loss: 0.1893
Epoch 382/500 - Loss: 0.1879
Epoch 383/500 - Loss: 0.1875
Epoch 384/500 - Loss: 0.1859
Epoch 385/500 - Loss: 0.1864
Epoch 386/500 - Loss: 0.1870
Epoch 387/500 - Loss: 0.1865
Epoch 388/500 - Loss: 0.1852
Epoch 389/500 - Loss: 0.1863
Epoch 390/500 - Loss: 0.1874
Epoch 391/500 - Loss: 0.1869
Epoch 392/500 - Loss: 0.1889
Epoch 393/500 - Loss: 0.1879
Epoch 394/500 - Loss: 0.1874
Epoch 395/500 - Loss: 0.1885
Epoch 396/500 - Loss: 0.1863
repeat_counter limit reached.
['7_0.19779316292089574', '1_0.23', '5_0.20568031128396325', '3_0.24120769542168807', '2_0.23964066229720804', '6_0.22636230218219247', '4_0.2201048572433186']
SAVING IN runs/8_0.18458359515704
