cuda
<torch.utils.data.dataloader.DataLoader object at 0x7feab98f89d0>
Epoch 159/500 - Loss: 0.0575
Epoch 160/500 - Loss: 0.0576
Epoch 161/500 - Loss: 0.0574
Epoch 162/500 - Loss: 0.0582
Epoch 163/500 - Loss: 0.0574
Epoch 164/500 - Loss: 0.0573
Epoch 165/500 - Loss: 0.0574
Epoch 166/500 - Loss: 0.0574
Epoch 167/500 - Loss: 0.0575
Epoch 168/500 - Loss: 0.0574
Epoch 169/500 - Loss: 0.0575
Epoch 170/500 - Loss: 0.0575
Epoch 171/500 - Loss: 0.0575
Epoch 172/500 - Loss: 0.0574
Epoch 173/500 - Loss: 0.0576
Epoch 174/500 - Loss: 0.0576
Epoch 175/500 - Loss: 0.0573
Epoch 176/500 - Loss: 0.0572
Epoch 177/500 - Loss: 0.0574
Epoch 178/500 - Loss: 0.0573
Epoch 179/500 - Loss: 0.0574
Epoch 180/500 - Loss: 0.0573
Epoch 181/500 - Loss: 0.0573
Epoch 182/500 - Loss: 0.0573
Epoch 183/500 - Loss: 0.0574
Epoch 184/500 - Loss: 0.0580
Epoch 185/500 - Loss: 0.0573
Epoch 186/500 - Loss: 0.0572
Epoch 187/500 - Loss: 0.0572
Epoch 188/500 - Loss: 0.0572
Epoch 189/500 - Loss: 0.0572
Epoch 190/500 - Loss: 0.0572
Epoch 191/500 - Loss: 0.0572
Epoch 192/500 - Loss: 0.0572
Epoch 193/500 - Loss: 0.0571
Epoch 194/500 - Loss: 0.0572
Epoch 195/500 - Loss: 0.0572
Epoch 196/500 - Loss: 0.0572
Epoch 197/500 - Loss: 0.0574
Epoch 198/500 - Loss: 0.0572
Epoch 199/500 - Loss: 0.0572
Epoch 200/500 - Loss: 0.0570
Epoch 201/500 - Loss: 0.0571
Epoch 202/500 - Loss: 0.0570
Epoch 203/500 - Loss: 0.0572
Epoch 204/500 - Loss: 0.0572
Epoch 205/500 - Loss: 0.0570
Epoch 206/500 - Loss: 0.0573
Epoch 207/500 - Loss: 0.0571
Epoch 208/500 - Loss: 0.0571
Epoch 209/500 - Loss: 0.0571
Epoch 210/500 - Loss: 0.0570
Epoch 211/500 - Loss: 0.0570
